# Pathway	28-7A-1-1_Coverage
PWY-6609: adenine and adenosine salvage III|g__Anaerostipes.s__Anaerostipes_hadrus	0.5275972413
PWY-6609: adenine and adenosine salvage III|g__Coprococcus.s__Coprococcus_catus	0.8309030972
PWY-6609: adenine and adenosine salvage III|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0.6951869716
PWY-6609: adenine and adenosine salvage III|g__Parabacteroides.s__Parabacteroides_merdae	0.5697362158
PWY-6609: adenine and adenosine salvage III|g__Eggerthella.s__Eggerthella_lenta	0.3309565341
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp_CAG_52	0.3552823848
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.2886447320
PWY-5695: inosine 5'-phosphate degradation	1.0000000000
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	0.0217548529
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	0.0028916251
PWY-5695: inosine 5'-phosphate degradation|unclassified	0.9999999502
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	0.2536534838
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	0.5092262020
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	0.4787371561
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	0.0986363991
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	0.3497876422
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	0.0071292905
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	0.3117977915
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	0.5060975398
PWY-5695: inosine 5'-phosphate degradation|g__Agathobaculum.s__Agathobaculum_butyriciproducens	0.7346736768
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	0.0000000576
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.1826864757
PWY-3841: folate transformations II (plants)	1.0000000000
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_vulgatus	0.0127708623
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_uniformis	0.3030638917
PWY-3841: folate transformations II (plants)|unclassified	1.0000000000
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_ovatus	0.2534271629
PWY-3841: folate transformations II (plants)|g__Blautia.s__Ruminococcus_torques	0.0000021691
PWY-3841: folate transformations II (plants)|g__Dialister.s__Dialister_invisus	0.4105099833
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_wexlerae	0.1444407526
PWY-3841: folate transformations II (plants)|g__Dorea.s__Dorea_longicatena	0.0000025774
PWY-3841: folate transformations II (plants)|g__Eubacterium.s__Eubacterium_hallii	0.3538907631
PWY-3841: folate transformations II (plants)|g__Anaerostipes.s__Anaerostipes_hadrus	0.5112215624
PWY-3841: folate transformations II (plants)|g__Odoribacter.s__Odoribacter_splanchnicus	0.4156790168
PWY-3841: folate transformations II (plants)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	0.3398485355
PWY-3841: folate transformations II (plants)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.4920117874
PWY-3841: folate transformations II (plants)|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.6309609851
PWY-3841: folate transformations II (plants)|g__Hungatella.s__Hungatella_hathewayi	0.5330898434
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_obeum	0.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage	1.0000000000
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_vulgatus	0.9687459441
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_uniformis	0.9774496572
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	0.9999999681
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_ovatus	0.0243757729
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Ruminococcus_torques	0.0253117778
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Blautia_sp	0.6746120996
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	0.8333903033
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	0.1269188892
PWY-5686: UMP biosynthesis I	0.9999999786
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	0.0698993310
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	0.0050372527
PWY-5686: UMP biosynthesis I|unclassified	0.9998780306
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	0.2919401474
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	0.7535622971
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.4803937524
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	0.8804418871
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	0.4480477877
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	0.1164803886
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	0.0107146593
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	0.5170959157
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	0.3736029491
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	0.6259911655
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	0.0001164005
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	0.0887661408
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	0.4600877950
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.6077712446
PWY-7790: UMP biosynthesis II	0.9999999786
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	0.0698993310
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	0.0050372527
PWY-7790: UMP biosynthesis II|unclassified	0.9297322252
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	0.3803950704
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	0.7535622971
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.4803937524
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	0.8804418871
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	0.4480477877
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	0.1164803886
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	0.0107146593
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	0.5170959157
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	0.3736029491
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	0.6259911655
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	0.0001164005
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	0.0887661408
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	0.4600877950
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.6077712446
PWY-7791: UMP biosynthesis III	0.9999999786
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	0.1509506756
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	0.0050372527
PWY-7791: UMP biosynthesis III|unclassified	0.9297322252
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	0.2919401474
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	0.7535622971
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	0.4803937524
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	0.8804418871
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	0.4480477877
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	0.1164803886
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	0.0107146593
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	0.5170959157
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	0.3736029491
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	0.6259911655
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	0.0001164005
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	0.0887661408
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	0.4600877950
PWY-7791: UMP biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	0.3079784687
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.6077712446
PWY-5973: cis-vaccenate biosynthesis	0.9999999992
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	0.0000125514
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_finegoldii	0.7285282950
PWY-5973: cis-vaccenate biosynthesis|unclassified	0.1176970073
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	0.5671394190
PWY-5973: cis-vaccenate biosynthesis|g__Blautia.s__Ruminococcus_torques	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	0.0309392645
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	0.4051787888
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	0.0234461377
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bicirculans	0.8851434716
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	0.6393559264
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	0.5066276426
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	0.6646576874
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	0.6375203635
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	0.2652539566
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Dorea.s__Dorea_longicatena	0.0000000000
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	0.2677502943
PWY-6700: queuosine biosynthesis I (de novo)	1.0000000000
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	0.8902411951
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_uniformis	0.7343048263
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_ovatus	0.9976190901
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	0.0031015681
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Ruminococcus_torques	0.1341177565
