# Pathway	30-8B_Abundance
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	9.6389719456
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	6.1029756101
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	6.0122268060
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.2664088442
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.2556846762
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	1.6638532629
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	685.8631935054
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	133.9515711884
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	120.2149925231
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	56.5994850856
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	25.2060449247
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	18.3377639953
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	12.6813131032
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	7.3134040724
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.7965255377
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	3.3806944738
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	2.8784820046
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1.9119221471
PWY-1042: glycolysis IV	678.7705332358
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	216.4572150354
PWY-1042: glycolysis IV|unclassified	42.9821380852
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31.5641651419
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	19.5851712381
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	15.6722001823
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	15.4390743385
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	14.4004403550
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	10.4264787998
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_faecis	6.9998497239
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.8261333830
PWY-7221: guanosine ribonucleotides de novo biosynthesis	664.7129664232
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	164.9452150734
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	163.1413920268
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	57.3831746865
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	31.6033094061
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.9484611411
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	21.9136674377
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	21.7483966931
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	20.0649727099
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	19.0024250734
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	12.2832856384
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	10.6412474761
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	7.4705988109
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_faecis	7.4120776571
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	1.4401576964
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.0778270310
VALSYN-PWY: L-valine biosynthesis	651.4663338813
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	168.1379698858
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	103.9565774397
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	59.8540166991
VALSYN-PWY: L-valine biosynthesis|unclassified	59.6161739874
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	27.2111195844
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.4086103227
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	22.2078806832
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	20.7909027263
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	20.4050390306
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_eligens	14.4106271063
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	14.3690768760
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	11.9122796068
VALSYN-PWY: L-valine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	9.8344280069
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	9.0225951871
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_faecis	6.7098743919
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.7988465072
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	2.0449873527
PWY-5695: inosine 5'-phosphate degradation	629.0442596777
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	160.6910628223
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	159.5473799859
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	47.5723909076
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_thetaiotaomicron	21.5145229447
PWY-5695: inosine 5'-phosphate degradation|unclassified	18.6236612418
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	15.0821849168
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	14.3925974593
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	10.3073600210
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	9.0080052706
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	6.7922034481
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	5.2482699246
PWY-5695: inosine 5'-phosphate degradation|g__Roseburia.s__Roseburia_faecis	3.9456641258
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	1.4589320620
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	620.1647026682
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis	170.1865032976
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_vulgatus	141.4856382107
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_ovatus	41.7779025527
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	34.6850493180
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Ruminococcus_torques	19.8076956251
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	17.9987016582
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Dorea.s__Dorea_longicatena	17.6130393366
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Blautia_wexlerae	17.0978010095
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	16.8911807688
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Blautia_sp	11.5429475862
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Blautia_obeum	9.9124604961
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Dialister.s__Dialister_invisus	8.7310799485
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	8.2435423544
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Eubacterium.s__Eubacterium_eligens	7.7725428240
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Anaerostipes.s__Anaerostipes_hadrus	5.1198819614
PWY-7238: sucrose biosynthesis II	615.4251841161
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	168.9543133696
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	47.5584939555
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	37.0270747117
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	36.4338800624
PWY-7238: sucrose biosynthesis II|unclassified	33.8061468595
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	30.0479464483
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	28.5633499129
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	18.9829909576
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	17.8201263720
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	13.7581842529
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	12.1615477717
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	9.9768002164
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	9.1866637684
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	7.4148401247
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	6.5434237402
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	6.4046196983
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.5983843596
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_faecis	5.0686240837
PWY-7199: pyrimidine deoxyribonucleosides salvage	614.6643609003
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_uniformis	221.6887270200
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_vulgatus	161.2023130273
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_ovatus	52.7863100757
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_thetaiotaomicron	15.4923802707
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	15.2040309381
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Blautia_sp	13.9854815397
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Ruminococcus_torques	13.7634298832
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	11.8401387515
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	612.3888094095
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	191.2188308692
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	136.0141707017
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	52.8136107711
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	18.4680009217
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	16.9872269901
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Dorea.s__Dorea_longicatena	15.6037596030
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	13.2441502076
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	11.4827970493
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	9.2986595889
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	8.9867650361
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	8.2349348680
NONMEVIPP-PWY: methylerythritol phosphate pathway I	612.1483157465
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_uniformis	164.8437569310
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_vulgatus	137.4862278581
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_ovatus	45.9243502990
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	20.4026892765
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	15.4544149816
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Ruminococcus_torques	14.8480395711
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Blautia_obeum	12.5844877329
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	11.1879055962
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	10.6313866100
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Blautia_wexlerae	10.2975967444
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Gemmiger.s__Gemmiger_formicilis	10.2473139677
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Anaerostipes.s__Anaerostipes_hadrus	7.9228685761
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_eligens	7.9212607562
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	605.1555756966
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	174.8079093095
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	137.4071467872
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	42.8051601101
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	31.6222112294
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	20.7896620095
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Dorea.s__Dorea_longicatena	17.6154369946
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	17.2916853958
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Blautia_wexlerae	14.6317041036
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	13.3600552301
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	12.1814659510
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Blautia_sp	11.6235857908
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Blautia.s__Blautia_obeum	11.1950563940
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Dialister.s__Dialister_invisus	8.9768818141
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Eubacterium.s__Eubacterium_eligens	8.9502199213
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	5.5040239096
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	604.7105210569
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_uniformis	179.3265598633
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_vulgatus	131.9835330401
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_ovatus	43.7288747722
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	29.7508027162
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Blautia.s__Ruminococcus_torques	19.4537797474
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Dorea.s__Dorea_longicatena	17.5246183730
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Bacteroides.s__Bacteroides_thetaiotaomicron	17.1031581949
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Blautia.s__Blautia_wexlerae	12.8289804895
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Blautia.s__Blautia_obeum	10.6704470358
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Blautia.s__Blautia_sp	10.0024804635
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Dialister.s__Dialister_invisus	9.7107183713
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Eubacterium.s__Eubacterium_eligens	8.0212159562
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	7.6563824927
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|g__Anaerostipes.s__Anaerostipes_hadrus	5.6691882712
PWY-5686: UMP biosynthesis I	601.5045576632
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	151.7609746042
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	141.9668912538
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	43.0129896162
PWY-5686: UMP biosynthesis I|unclassified	31.6595192477
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	19.9522667016
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	19.5955114511
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_thetaiotaomicron	19.4420256053
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	16.5335055352
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	14.3332210145
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	12.0520566643
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	10.3511614634
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	8.2962429441
PWY-5686: UMP biosynthesis I|g__Roseburia.s__Roseburia_faecis	7.7899224637
PWY-7790: UMP biosynthesis II	601.5045576632
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	151.7609746042
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	141.9668912538
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	47.0654498169
PWY-7790: UMP biosynthesis II|unclassified	31.6595192477
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_thetaiotaomicron	21.8364607904
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	19.9522667016
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	19.5955114511
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	16.5335055352
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	14.3332210145
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	12.0520566643
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	10.3511614634
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	8.2962429441
PWY-7790: UMP biosynthesis II|g__Roseburia.s__Roseburia_faecis	7.7899224637
PWY-7791: UMP biosynthesis III	601.5045576632
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	151.7609746042
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	148.3514592826
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	40.6163273722
PWY-7791: UMP biosynthesis III|unclassified	31.6595192477
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_thetaiotaomicron	21.4473720557
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	19.9522667016
