# Pathway	28-7A-1-1_Abundance
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_AF17_7	843.7034595354
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	808.2634047664
UNINTEGRATED|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	0.0000000000
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	2072.6989729885
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	612.4823097959
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	483.9941702628
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	240.8459205691
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	238.5225761018
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Alistipes.s__Alistipes_finegoldii	74.0242205579
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	59.3953774931
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	55.6819540508
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	52.4332116217
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Dorea.s__Dorea_longicatena	46.3875404814
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	23.7178456329
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	21.6924462172
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	18.8855713023
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	15.0209876786
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	14.3764995611
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	12.3046346484
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	12.0478733872
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	7.7746803041
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	7.5702813035
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.6486631584
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	6.1580265577
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.0073938020
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	4.6547467938
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eggerthella.s__Eggerthella_lenta	4.5232364173
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	4.1204856987
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Clostridium.s__Clostridium_sp_CAG_58	2.3452284308
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_AF17_7	2.1849968855
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	1.6784636631
PWY-1042: glycolysis IV	1893.9263097030
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	563.0827424162
PWY-1042: glycolysis IV|unclassified	281.4174102868
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	96.2360115655
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	56.6818323711
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	45.8082084868
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	43.8614211105
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	19.1350804563
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	19.1086859243
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	11.2797295720
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	8.9050585090
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	4.0413552358
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.5358966001
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.6599505557
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_obeum	2.0033393591
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	1658.4764429317
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	514.2855814264
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	297.2730717210
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	151.4705714002
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	94.5263484767
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	60.6217468339
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Dorea.s__Dorea_longicatena	49.5932203867
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	30.2507094583
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcus.s__Ruminococcus_bicirculans	19.4256856323
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	19.3131206523
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	11.7830998510
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	11.6039822611
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Agathobaculum.s__Agathobaculum_butyriciproducens	8.0323380829
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Anaerostipes.s__Anaerostipes_hadrus	7.9084095138
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	5.0859571584
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.2189269084
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Hungatella.s__Hungatella_hathewayi	2.5415163413
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1639.5869678596
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	370.0939637311
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	295.4260972694
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	291.4444294044
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	111.6807069053
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	88.4539560675
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	42.3059938094
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	40.6675483922
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	36.3820870261
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	35.2658716878
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_finegoldii	27.5274589499
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	19.9646661479
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	16.9263224352
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	12.5499116730
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	10.3038533086
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	9.5940198042
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	7.5476979461
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	7.4131569030
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	5.9379098230
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5.5381370789
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	5.3629034126
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	4.3160145808
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_faecis	1.9923981759
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.1400438653
PWY-6609: adenine and adenosine salvage III	1605.5742026119
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	383.4508681237
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	307.1925014887
PWY-6609: adenine and adenosine salvage III|unclassified	229.7908279407
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Ruminococcus_torques	63.9981635539
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	60.7041053177
PWY-6609: adenine and adenosine salvage III|g__Dialister.s__Dialister_invisus	36.2882547264
PWY-6609: adenine and adenosine salvage III|g__Dorea.s__Dorea_longicatena	36.2620166399
PWY-6609: adenine and adenosine salvage III|g__Alistipes.s__Alistipes_finegoldii	31.0306921159
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp	30.4496477874
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_wexlerae	29.7271466247
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	28.4275128349
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	27.0963791691
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	25.9050756591
PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	23.5160976841
PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	16.6761771920
PWY-6609: adenine and adenosine salvage III|g__Oscillibacter.s__Oscillibacter_sp_57_20	16.6614419788
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	15.4672543499
PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_bicirculans	15.2653668281
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	11.4712155348
PWY-6609: adenine and adenosine salvage III|g__Anaerostipes.s__Anaerostipes_hadrus	9.8287377512
PWY-6609: adenine and adenosine salvage III|g__Coprococcus.s__Coprococcus_catus	8.1235607278
PWY-6609: adenine and adenosine salvage III|g__Agathobaculum.s__Agathobaculum_butyriciproducens	7.4440945068
PWY-6609: adenine and adenosine salvage III|g__Parabacteroides.s__Parabacteroides_merdae	6.7804411714
PWY-6609: adenine and adenosine salvage III|g__Eggerthella.s__Eggerthella_lenta	6.1977023771
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp_CAG_52	3.2755485189
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.6395177691
PWY-5695: inosine 5'-phosphate degradation	1588.7656879955
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	365.5805630000
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	296.9558106955
PWY-5695: inosine 5'-phosphate degradation|unclassified	249.2178351978
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	86.3124076312
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	66.8130340963
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	39.1555912770
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	31.8492547380
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	17.0489465314
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	16.6137476659
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	11.9616761145
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	9.5962568841
PWY-5695: inosine 5'-phosphate degradation|g__Agathobaculum.s__Agathobaculum_butyriciproducens	8.2781354668
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	7.5539219486
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	1.4280158319
PWY-3841: folate transformations II (plants)	1575.3498865358
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_vulgatus	366.2043017971
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_uniformis	350.6632460832
PWY-3841: folate transformations II (plants)|unclassified	330.7564891259
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_ovatus	90.4939866771
PWY-3841: folate transformations II (plants)|g__Blautia.s__Ruminococcus_torques	45.8038909347
PWY-3841: folate transformations II (plants)|g__Dialister.s__Dialister_invisus	40.9743990273
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_wexlerae	25.3330045295
PWY-3841: folate transformations II (plants)|g__Dorea.s__Dorea_longicatena	18.4703435465
PWY-3841: folate transformations II (plants)|g__Eubacterium.s__Eubacterium_hallii	12.0709355380
PWY-3841: folate transformations II (plants)|g__Anaerostipes.s__Anaerostipes_hadrus	10.1642124966
PWY-3841: folate transformations II (plants)|g__Odoribacter.s__Odoribacter_splanchnicus	7.8959568355
PWY-3841: folate transformations II (plants)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	5.3603649059
PWY-3841: folate transformations II (plants)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.0844069721
PWY-3841: folate transformations II (plants)|g__Lachnoclostridium.s__Clostridium_clostridioforme	4.0238598942
PWY-3841: folate transformations II (plants)|g__Hungatella.s__Hungatella_hathewayi	3.9231220953
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_obeum	2.5860380177
PWY-7199: pyrimidine deoxyribonucleosides salvage	1552.7289936995
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_vulgatus	428.9183212142
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_uniformis	395.9021135282
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	243.9440598391
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_ovatus	85.8579981564
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Ruminococcus_torques	45.7504690485
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Blautia_sp	36.3459200156
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	33.7634588399
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	19.1617190763
PWY-5686: UMP biosynthesis I	1551.3126404731
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	374.2429194053
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	295.7031273783
PWY-5686: UMP biosynthesis I|unclassified	248.9672478946
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	96.2155204296
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	82.3528667311
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	43.9183775580
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	41.2196982543
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	35.1324425374
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	33.0508567192
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	30.5647289194
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	20.9819477028
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	20.9095576235
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	17.4734977139
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	12.9797401877
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	12.9512596020
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	7.3241830735
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7677148119
PWY-7790: UMP biosynthesis II	1551.3126404731
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	374.2429194053
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	295.7031273783
PWY-7790: UMP biosynthesis II|unclassified	213.8122546041
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	99.3470717391
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	82.3528667311
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	43.9183775580
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	41.2196982543
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	35.1324425374
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	33.0508567192
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	30.5647289194
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	20.9819477028
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	20.9095576235
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	17.4734977139
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	12.9797401877
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	12.9512596020
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	7.3241830735
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7677148119
PWY-7791: UMP biosynthesis III	1551.3126404731
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	395.0164434306
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	295.7031273783
PWY-7791: UMP biosynthesis III|unclassified	213.8122546041
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	96.2155204296
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	82.3528667311
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	43.9183775580
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	41.2196982543
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	35.1324425374
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	33.0508567192
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	30.5647289194
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	20.9819477028
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	20.9095576235
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	17.4734977139
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	12.9797401877
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	12.9512596020
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	7.3241830735
PWY-7791: UMP biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	5.0682495805
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7677148119
PWY-5973: cis-vaccenate biosynthesis	1497.2615018322
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	286.2210787989
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_finegoldii	136.2802180482
PWY-5973: cis-vaccenate biosynthesis|unclassified	116.4822243546
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	106.4213613693
PWY-5973: cis-vaccenate biosynthesis|g__Blautia.s__Ruminococcus_torques	23.2664691988
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1497.1841887010
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	316.9997240565
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	238.2642761660
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	111.7179899763
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	71.1046841537
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	45.3801513931
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bicirculans	29.7725736543
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	12.0884092468
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	8.2663327580
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	7.2148752427
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	4.4848485017
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	2.5296696402
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Dorea.s__Dorea_longicatena	2.4048065227
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1.3528022412
PWY-6700: queuosine biosynthesis I (de novo)	1494.2755347306
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	446.6943477297
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_uniformis	354.3952483860
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_ovatus	145.4951620624
