# Pathway	33-6-2_Abundance
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_sp_CAG_182	8.6881714667
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	7.8341654861
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	4.5571962574
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_catus	4.3380525700
PWY-7238: sucrose biosynthesis II|g__Erysipelatoclostridium.s__Clostridium_innocuum	3.0250928617
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_gnavus	2.9319121533
PWY-7238: sucrose biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	2.8485033937
PWY-7238: sucrose biosynthesis II|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	1.4124110183
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	1063.8368138782
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	256.2688081758
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	133.6724251700
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dorea.s__Dorea_longicatena	117.8415719893
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp	72.4001584065
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	71.3868855328
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Gemmiger.s__Gemmiger_formicilis	58.3403461397
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	46.1356274231
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	43.0793226496
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	30.1966294834
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	22.4927596960
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	20.8928949835
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	17.9145510737
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_ovatus	13.0644087815
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	8.4988545003
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_52	7.0819573822
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_257	4.9795512245
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7444736768
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_faecis	3.7273769416
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Erysipelatoclostridium.s__Clostridium_innocuum	1.5633084111
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.3244308258
VALSYN-PWY: L-valine biosynthesis	1019.5480728752
VALSYN-PWY: L-valine biosynthesis|unclassified	334.0197363562
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	120.0555569176
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	72.2870368869
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	65.5655707489
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	57.9877669054
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	57.7365603163
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	46.9878316877
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	37.0057173224
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	27.3977279903
VALSYN-PWY: L-valine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	26.7213152008
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	22.9678158498
VALSYN-PWY: L-valine biosynthesis|g__Eggerthella.s__Eggerthella_lenta	18.2915493568
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	17.3232867055
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	15.0535168460
VALSYN-PWY: L-valine biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	10.0356546464
VALSYN-PWY: L-valine biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	8.6088554506
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	8.4092053605
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	7.3052158072
VALSYN-PWY: L-valine biosynthesis|g__Clostridium.s__Clostridium_disporicum	4.6501966970
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	4.5495158944
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_faecis	3.7325646966
VALSYN-PWY: L-valine biosynthesis|g__Hungatella.s__Hungatella_hathewayi	1.7569590934
VALSYN-PWY: L-valine biosynthesis|g__Fusicatenibacter.s__Fusicatenibacter_saccharivorans	1.7269136364
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.4312056173
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1016.3039831947
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	165.3272856552
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	105.6840887126
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	72.0940558662
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	67.6411870838
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	53.4158954791
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	50.2390333044
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	36.6757663985
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	27.9721453234
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	27.2454203511
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	23.5714931578
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	22.5345409020
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	20.6081083280
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	10.0759708712
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	10.0307572535
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	8.9161205111
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6.7953772515
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Coprococcus.s__Coprococcus_catus	3.6922161992
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp_CAG_257	3.4547773631
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	2.9504920997
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	999.9553321206
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	313.8259769468
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Ruminococcus_torques	106.4857790132
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_sp	68.4962327619
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	65.5403799432
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	45.0912975235
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_obeum	42.8764941628
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Dorea.s__Dorea_longicatena	39.8609168629
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	26.0915095679
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	22.6043798572
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Eubacterium.s__Eubacterium_hallii	19.4428095736
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Eggerthella.s__Eggerthella_lenta	18.0132741853
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_wexlerae	15.1512162117
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	15.1181894106
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	7.0226357391
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6.8231626683
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	6.0765575139
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	984.0902106551
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	290.7733782541
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_torques	105.7762608022
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_sp	67.0584912884
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	64.2155395196
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Gemmiger.s__Gemmiger_formicilis	44.4318170840
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_obeum	43.3793154246
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_longicatena	35.7143051744
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Anaerostipes.s__Anaerostipes_hadrus	24.2273568104
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Ruminococcus.s__Ruminococcus_bicirculans	22.6997923894
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_hallii	19.4326969141
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eggerthella.s__Eggerthella_lenta	18.0757411883
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_wexlerae	14.6988107619
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_ovatus	14.4307279858
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnoclostridium.s__Clostridium_clostridioforme	8.4092053605
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Asaccharobacter.s__Asaccharobacter_celatus	7.9263194988
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	6.5403331699
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	6.2262380296
PWY-5686: UMP biosynthesis I	982.9918801898
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	122.1492317441
PWY-5686: UMP biosynthesis I|unclassified	102.2089558462
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	68.0558055063
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	61.4127854710
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	57.0077468752
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	46.6032372344
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	42.9761360937
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	38.8288963790
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	33.7951915991
PWY-5686: UMP biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	29.5840231566
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	24.1607319061
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	19.6978243071
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	18.1187569588
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	17.9918885071
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	12.2203509610
PWY-5686: UMP biosynthesis I|g__Asaccharobacter.s__Asaccharobacter_celatus	5.3000816055
PWY-5686: UMP biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4.4445612848
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp_CAG_52	3.5587927444
PWY-7790: UMP biosynthesis II	982.9918801898
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	122.1492317441
PWY-7790: UMP biosynthesis II|unclassified	102.2089558462
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	68.0558055063
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	61.4127854710
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	57.0077468752
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	46.6032372344
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	42.9761360937
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	38.8288963790
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	33.7951915991
PWY-7790: UMP biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	29.5840231566
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	24.1607319061
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	19.6978243071
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	18.0243920877
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	17.9918885071
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	12.2203509610
PWY-7790: UMP biosynthesis II|g__Asaccharobacter.s__Asaccharobacter_celatus	5.3000816055
PWY-7790: UMP biosynthesis II|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4.4445612848
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp_CAG_52	3.5587927444
PWY-7791: UMP biosynthesis III	982.9918801898
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	122.1492317441
PWY-7791: UMP biosynthesis III|unclassified	102.2089558462
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	68.0558055063
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	61.4127854710
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	57.0077468752
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	46.6032372344
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	42.9761360937
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	38.8288963790
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	33.7951915991
PWY-7791: UMP biosynthesis III|g__Anaerostipes.s__Anaerostipes_hadrus	29.5840231566
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	24.6414784928
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	24.1607319061
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	17.9918885071
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	16.1374593552
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	12.2203509610
PWY-7791: UMP biosynthesis III|g__Asaccharobacter.s__Asaccharobacter_celatus	5.3000816055
PWY-7791: UMP biosynthesis III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4.4445612848
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp_CAG_52	3.5587927444
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	952.2725879280
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	277.3038346476
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Ruminococcus_torques	113.7434241691
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_longicatena	60.9896810948
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_sp	60.3662224267
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Gemmiger.s__Gemmiger_formicilis	59.2404766673
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_wexlerae	51.6490036733
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Anaerostipes.s__Anaerostipes_hadrus	28.2703468995
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Ruminococcus.s__Ruminococcus_bicirculans	24.0071348467
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_hallii	19.8327047893
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_obeum	16.8687642003
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eggerthella.s__Eggerthella_lenta	12.9699749322
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	7.2336087052
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Asaccharobacter.s__Asaccharobacter_celatus	7.0059022303
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.7701530760
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.5259217321
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)	945.6191214014
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|unclassified	259.4829213392
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Ruminococcus_torques	105.1959527580
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Dorea.s__Dorea_longicatena	59.1980436644
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Gemmiger.s__Gemmiger_formicilis	55.5403693734
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Blautia_wexlerae	54.5731756750
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Anaerostipes.s__Anaerostipes_hadrus	25.4902013151
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Ruminococcus.s__Ruminococcus_bicirculans	23.3539050112
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine)|g__Blautia.s__Blautia_sp	14.3297418888
PWY-3841: folate transformations II (plants)	934.0173847218
PWY-3841: folate transformations II (plants)|unclassified	203.1218067871
