# Pathway	42-51-1B_Abundance
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	42.0823764515
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	30.7086010374
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	29.6350696670
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	22.9765987082
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	18.7166157916
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	14.6781301586
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_faecis	13.6038961641
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	11.8401942505
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	10.6328277115
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	10.3799877634
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	6.0634071639
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	5.1602404186
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_aldenense	1.7269065626
PWY-1042: glycolysis IV	1667.8943074806
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	817.0274944001
PWY-1042: glycolysis IV|unclassified	190.8155433715
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	50.3449545379
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	44.8394759794
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	38.1127432131
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	26.6038847195
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_symbiosum	13.3926638638
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	13.3512476267
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	12.7593559561
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	1420.2436326916
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	634.8576882058
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	134.8320138714
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1384.2987266927
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	656.0710355543
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	187.1354644000
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	146.6794981058
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	96.9758893093
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	45.5529896674
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	41.7298393133
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	39.6023918144
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	32.3003747701
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	24.9744672777
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	16.4386663740
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	12.7797416046
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_faecis	8.6182582689
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	6.9414346820
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eisenbergiella.s__Eisenbergiella_massiliensis	4.8356136693
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	1.7879354141
VALSYN-PWY: L-valine biosynthesis	1363.4376059048
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	393.0792551237
VALSYN-PWY: L-valine biosynthesis|unclassified	287.5406953826
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	129.1221729088
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	87.5347614538
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	51.8484755311
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	33.6590481045
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	28.2851689518
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	25.5139160342
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_eligens	24.0373308903
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	23.7801422585
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	20.5310680716
VALSYN-PWY: L-valine biosynthesis|g__Hungatella.s__Hungatella_hathewayi	14.2256432977
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	11.7917427458
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_faecis	9.8224841008
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	6.9800520975
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	6.6794027773
VALSYN-PWY: L-valine biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	5.7588003389
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	5.7258228595
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	0.5680525476
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	1354.8645133388
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	776.8137459888
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	137.7704443714
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	95.0154641406
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	80.2996654639
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	40.7833616077
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	21.2426972935
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	19.4802400901
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	15.6089748069
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	14.2182712742
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_clostridioforme	12.0877493261
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Hungatella.s__Hungatella_hathewayi	10.1047535351
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_symbiosum	8.6370337388
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	4.6617667656
PWY-5695: inosine 5'-phosphate degradation	1311.3336196365
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	557.8880246941
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	88.7201790229
PWY-5695: inosine 5'-phosphate degradation|unclassified	85.6252062948
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	77.6228416157
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	55.5371115387
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	31.4221456248
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	14.4339328666
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	13.4816341544
PWY-5695: inosine 5'-phosphate degradation|g__Hungatella.s__Hungatella_hathewayi	11.1859835834
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_symbiosum	8.8137074600
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	1.5182342866
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	1300.4911482560
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	641.4747134930
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	122.6002475292
PWY-6609: adenine and adenosine salvage III	1286.3004713132
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	578.9406433816
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	95.8027641329
PWY-6609: adenine and adenosine salvage III|unclassified	84.0296099384
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	79.4088214224
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Ruminococcus_torques	64.2788364328
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	45.1803626172
PWY-6609: adenine and adenosine salvage III|g__Lachnoclostridium.s__Clostridium_clostridioforme	34.9046280029
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_wexlerae	29.8833959561
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	26.6526039607
PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	24.1243722692
PWY-6609: adenine and adenosine salvage III|g__Hungatella.s__Hungatella_hathewayi	19.7781499170
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	19.5601350527
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	11.6731617826
PWY-6609: adenine and adenosine salvage III|g__Roseburia.s__Roseburia_faecis	10.4075715355
PWY-6609: adenine and adenosine salvage III|g__Lachnoclostridium.s__Clostridium_symbiosum	9.6389189460
PWY-6609: adenine and adenosine salvage III|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	9.0754631948
PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_bicirculans	6.1679008129
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	4.3652586814
PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	4.1519920006
PWY-5686: UMP biosynthesis I	1278.1579490441
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	540.2526124379
PWY-5686: UMP biosynthesis I|unclassified	172.8248674967
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	88.2355083492
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	87.9190445898
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	49.4675669851
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	29.6367273068
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	29.1353412279
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.1632795435
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.0202365651
PWY-5686: UMP biosynthesis I|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	19.7074558654
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	14.9262872281
PWY-5686: UMP biosynthesis I|g__Roseburia.s__Roseburia_faecis	12.0788369427
PWY-5686: UMP biosynthesis I|g__Hungatella.s__Hungatella_hathewayi	9.0090523634
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	7.4553081751
PWY-7790: UMP biosynthesis II	1278.1579490441
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	540.2526124379
PWY-7790: UMP biosynthesis II|unclassified	172.8248674967
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	93.4614381423
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	87.9190445898
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	49.4675669851
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	29.6367273068
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	29.1353412279
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.1632795435
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.0202365651
PWY-7790: UMP biosynthesis II|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	19.7074558654
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	14.9262872281
PWY-7790: UMP biosynthesis II|g__Roseburia.s__Roseburia_faecis	12.0788369427
PWY-7790: UMP biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	9.0090523634
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	7.4553081751
PWY-7791: UMP biosynthesis III	1278.1579490441
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	572.4821495331
PWY-7791: UMP biosynthesis III|unclassified	172.8248674967
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	102.0085076231
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	87.9190445898
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	49.4675669851
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	29.6367273068
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	29.1353412279
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.1632795435
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	22.0202365651
PWY-7791: UMP biosynthesis III|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	19.7074558654
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	14.9262872281
PWY-7791: UMP biosynthesis III|g__Roseburia.s__Roseburia_faecis	12.0788369427
PWY-7791: UMP biosynthesis III|g__Hungatella.s__Hungatella_hathewayi	9.0090523634
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	7.4553081751
PWY-3841: folate transformations II (plants)	1226.4423520154
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_vulgatus	545.4127699028
PWY-3841: folate transformations II (plants)|unclassified	196.5133371848
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_uniformis	97.6982928935
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_ovatus	77.2827959180
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_wexlerae	27.7387026042
PWY-3841: folate transformations II (plants)|g__Blautia.s__Ruminococcus_torques	21.4063889030
PWY-3841: folate transformations II (plants)|g__Lachnoclostridium.s__Clostridium_clostridioforme	19.1390959226
PWY-3841: folate transformations II (plants)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	16.9943265135
PWY-3841: folate transformations II (plants)|g__Hungatella.s__Hungatella_hathewayi	13.4673298406
PWY-6700: queuosine biosynthesis I (de novo)	1212.6069486963
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	626.4315353569
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	146.4737143063
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_ovatus	105.2131820532
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_uniformis	102.1370790451
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	33.6746212487
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Ruminococcus_torques	31.3727737576
PWY-6700: queuosine biosynthesis I (de novo)|g__Eubacterium.s__Eubacterium_eligens	26.9083108715
PWY-6700: queuosine biosynthesis I (de novo)|g__Lachnoclostridium.s__Clostridium_clostridioforme	19.3145249247
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	14.8219146137
PWY-6700: queuosine biosynthesis I (de novo)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	13.8301599600
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	13.3046096830
PWY-6700: queuosine biosynthesis I (de novo)|g__Hungatella.s__Hungatella_hathewayi	11.2602012947
PWY-6700: queuosine biosynthesis I (de novo)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	10.2644846891
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_wexlerae	8.7550970977
PWY-6700: queuosine biosynthesis I (de novo)|g__Parasutterella.s__Parasutterella_excrementihominis	7.7868927780
PWY-6700: queuosine biosynthesis I (de novo)|g__Roseburia.s__Roseburia_faecis	6.1674311556
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_obeum	6.0687434783
PWY-6700: queuosine biosynthesis I (de novo)|g__Gemmiger.s__Gemmiger_formicilis	4.9067388110
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_sp	2.1572553029
PWY-6700: queuosine biosynthesis I (de novo)|g__Hungatella.s__Hungatella_effluvii	0.8856823058
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	1208.0756297531
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	716.8612248141
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	115.1217907494
1CMET2-PWY: folate transformations III (E. coli)	1189.7675205165
1CMET2-PWY: folate transformations III (E. coli)|g__Bacteroides.s__Bacteroides_vulgatus	583.1708435701
1CMET2-PWY: folate transformations III (E. coli)|unclassified	119.0465410331
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Ruminococcus_torques	20.4802601156
1CMET2-PWY: folate transformations III (E. coli)|g__Blautia.s__Blautia_wexlerae	16.1424789485
1CMET2-PWY: folate transformations III (E. coli)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	14.5858266338
1CMET2-PWY: folate transformations III (E. coli)|g__Hungatella.s__Hungatella_hathewayi	4.2137252649
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	1174.5148584795
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	455.9087075550
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	82.0588907685
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	78.7686479246
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	65.0534700883
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	46.2314154640
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	25.6057971723
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	18.7536355201
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	12.2417777758
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_symbiosum	4.5149311814
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_effluvii	2.0395801387
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	1172.6296165159
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_vulgatus	525.8341280047
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_uniformis	95.5531952679
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Bacteroides.s__Bacteroides_ovatus	91.9041488862
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|unclassified	69.7769323650
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Ruminococcus_torques	59.9385873936
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	34.1179909174
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_wexlerae	27.9203403881
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	27.4825007430
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Eubacterium.s__Eubacterium_eligens	22.5946069147
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_obeum	18.7130941591
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnoclostridium.s__Clostridium_clostridioforme	17.7676054780
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	17.3320596018
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Hungatella.s__Hungatella_hathewayi	12.0680568880
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	10.2208242580
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Lachnoclostridium.s__Clostridium_symbiosum	9.8465552300
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	9.3000561921
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Roseburia.s__Roseburia_faecis	8.2403877156
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Blautia.s__Blautia_sp	5.4894147898
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Parasutterella.s__Parasutterella_excrementihominis	4.7883125321
PWY-6163: chorismate biosynthesis from 3-dehydroquinate|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	4.6704994504
PWY-6151: S-adenosyl-L-methionine salvage I	1158.4606419082
PWY-6151: S-adenosyl-L-methionine salvage I|g__Bacteroides.s__Bacteroides_vulgatus	510.5661025088
PWY-6151: S-adenosyl-L-methionine salvage I|g__Bacteroides.s__Bacteroides_uniformis	109.8530832511
PWY-6151: S-adenosyl-L-methionine salvage I|unclassified	45.9575422441
PWY-6151: S-adenosyl-L-methionine salvage I|g__Blautia.s__Ruminococcus_torques	39.3172380592
