# Pathway	29-7A_Abundance
PWY-7199: pyrimidine deoxyribonucleosides salvage|unclassified	176.1805375416
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Bacteroides.s__Bacteroides_ovatus	79.9058232693
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Ruminococcus_torques	29.3368818607
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	16.5116995714
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Blautia.s__Blautia_sp	14.4376856822
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Oscillibacter.s__Oscillibacter_sp_57_20	11.6207777615
PWY-7199: pyrimidine deoxyribonucleosides salvage|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	9.8630343069
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1221.7606532642
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	413.1313002357
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	302.1753062758
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	164.0612797777
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	89.0125182395
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	44.3875343084
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31.0906659198
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	18.4146969249
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	17.7731152439
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_finegoldii	17.4962029523
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	13.9462320521
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	11.7826458651
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	10.3388498358
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	7.8826333754
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	5.4235904577
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	3.7492070760
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Agathobaculum.s__Agathobaculum_butyriciproducens	3.4985595510
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	1.3507578491
PWY-5686: UMP biosynthesis I	1200.4797112292
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	349.1710253381
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	290.5124849333
PWY-5686: UMP biosynthesis I|unclassified	147.7718938558
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	69.7643676092
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	40.6683366096
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.4432891416
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	19.2638005252
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	15.7312013216
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	14.9174833921
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	13.0826567799
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	10.9555691149
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	9.4989793240
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	9.3283030359
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	8.4319462364
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	4.5668658458
PWY-5686: UMP biosynthesis I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.5020639544
PWY-5686: UMP biosynthesis I|g__Asaccharobacter.s__Asaccharobacter_celatus	1.7363134383
PWY-5686: UMP biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0.9211607099
PWY-7790: UMP biosynthesis II	1200.4797112292
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	349.1710253381
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	290.5124849333
PWY-7790: UMP biosynthesis II|unclassified	147.7718938558
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	74.7984595624
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	40.6683366096
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.4432891416
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	19.2638005252
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	15.7312013216
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	14.9174833921
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	13.0826567799
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	10.9555691149
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	9.4989793240
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	9.3283030359
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	8.4319462364
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	4.5668658458
PWY-7790: UMP biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.5020639544
PWY-7790: UMP biosynthesis II|g__Asaccharobacter.s__Asaccharobacter_celatus	1.7363134383
PWY-7790: UMP biosynthesis II|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0.9211607099
PWY-7791: UMP biosynthesis III	1200.4797112292
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	349.1710253381
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	290.5124849333
PWY-7791: UMP biosynthesis III|unclassified	147.7718938558
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	74.3742468950
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	40.6683366096
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.4432891416
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	19.2638005252
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	15.7312013216
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	14.9174833921
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	13.0826567799
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	10.9555691149
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	9.4989793240
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	9.3283030359
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	8.4319462364
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	4.5668658458
PWY-7791: UMP biosynthesis III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.5020639544
PWY-7791: UMP biosynthesis III|g__Asaccharobacter.s__Asaccharobacter_celatus	1.7363134383
PWY-7791: UMP biosynthesis III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	0.9211607099
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	1184.3964589082
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	308.9765340302
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	287.8902558445
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	191.3854612613
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	71.4057509784
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	35.4572548731
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Ruminococcus_torques	34.5137991135
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dorea.s__Dorea_longicatena	15.6982894951
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_obeum	15.5764420659
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dialister.s__Dialister_invisus	13.5137843480
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	10.9190252284
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_sp	10.9067828222
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_wexlerae	8.5964987491
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	8.5621124985
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	8.2677903411
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Oscillibacter.s__Oscillibacter_sp_57_20	7.7925727699
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_hallii	7.5379310162
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Odoribacter.s__Odoribacter_splanchnicus	6.1203029032
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	3.9486602046
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.3128954243
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Hungatella.s__Hungatella_hathewayi	1.0906904681
PWY-5695: inosine 5'-phosphate degradation	1182.6381552304
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	360.8015706528
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	285.2695253301
PWY-5695: inosine 5'-phosphate degradation|unclassified	139.2190277812
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	79.1015072455
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	20.6966317165
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	14.8616502964
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	11.8666907641
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	8.8710192394
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	6.7027006133
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	6.0168109190
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	5.9292817637
PWY-5695: inosine 5'-phosphate degradation|g__Odoribacter.s__Odoribacter_splanchnicus	5.4753241294
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	1.3462937994
PWY-3841: folate transformations II (plants)	1178.4024646477
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_vulgatus	361.0668271125
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_uniformis	313.4034379527
PWY-3841: folate transformations II (plants)|unclassified	196.9714236162
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_ovatus	63.8511043745
PWY-3841: folate transformations II (plants)|g__Dialister.s__Dialister_invisus	19.2170955042
PWY-3841: folate transformations II (plants)|g__Blautia.s__Ruminococcus_torques	18.5961601132
PWY-3841: folate transformations II (plants)|g__Dorea.s__Dorea_longicatena	10.0315221998
PWY-3841: folate transformations II (plants)|g__Odoribacter.s__Odoribacter_splanchnicus	5.3086952519
PWY-6123: inosine-5'-phosphate biosynthesis I	1176.3185131969
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	356.1845980490
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	283.7092108462
PWY-6123: inosine-5'-phosphate biosynthesis I|unclassified	216.2971437101
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	72.5337602862
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	41.1374383848
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Blautia.s__Ruminococcus_torques	22.7756323520
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Dialister.s__Dialister_invisus	14.3131554425
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Blautia.s__Blautia_wexlerae	12.5726392154
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Blautia.s__Blautia_sp	8.6993821227
PWY-6123: inosine-5'-phosphate biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	4.6415195729
PWY-6609: adenine and adenosine salvage III	1173.7337604184
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	370.5914697196
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	277.4344117466
PWY-6609: adenine and adenosine salvage III|unclassified	132.1888831332
PWY-6609: adenine and adenosine salvage III|g__Dorea.s__Dorea_longicatena	27.4925563157
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	26.6100635882
PWY-6609: adenine and adenosine salvage III|g__Alistipes.s__Alistipes_finegoldii	24.5325213168
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	22.4230678732
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Ruminococcus_torques	16.0438255734
PWY-6609: adenine and adenosine salvage III|g__Oscillibacter.s__Oscillibacter_sp_57_20	15.7036957157
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	13.4066954417
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp	12.5503804458
PWY-6609: adenine and adenosine salvage III|g__Dialister.s__Dialister_invisus	11.4065995625
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	10.8393464586
PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	9.8059683498
PWY-6609: adenine and adenosine salvage III|g__Parabacteroides.s__Parabacteroides_merdae	9.2295450322
PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_bicirculans	8.5453076330
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	8.4848887605
PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	6.6271928132
PWY-6609: adenine and adenosine salvage III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5.4043867058
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_wexlerae	5.3475656921
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.5342647206
PWY-6609: adenine and adenosine salvage III|g__Asaccharobacter.s__Asaccharobacter_celatus	1.8381415913
PWY-5973: cis-vaccenate biosynthesis	1165.9634985426
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	258.8476835180
PWY-5973: cis-vaccenate biosynthesis|g__Alistipes.s__Alistipes_finegoldii	106.2617691482
PWY-5973: cis-vaccenate biosynthesis|unclassified	92.8477584435
PWY-5973: cis-vaccenate biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	70.7627417432
PWY-5973: cis-vaccenate biosynthesis|g__Blautia.s__Ruminococcus_torques	17.3724413431
PWY-5973: cis-vaccenate biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	8.0381771358
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	1158.3417409949
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	358.6101982436
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	74.0552663896
NONMEVIPP-PWY: methylerythritol phosphate pathway I	1158.0844672424
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_uniformis	314.6570713586
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_vulgatus	308.8996800680
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	120.9749780819
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_ovatus	71.5494946730
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Ruminococcus_torques	38.7965121770
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	22.2199080641
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	12.9143110098
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Blautia_obeum	11.8238635632
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_eligens	8.0561771514
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Ruminococcus.s__Ruminococcus_bicirculans	7.9648813749
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Gemmiger.s__Gemmiger_formicilis	7.7562454989
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Oscillibacter.s__Oscillibacter_sp_57_20	7.5714645261
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Anaerostipes.s__Anaerostipes_hadrus	5.5441160099
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Blautia_wexlerae	4.7807465981
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	1149.4490239460
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	291.2243112507
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	276.0102658066
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	177.7680693651
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	68.0983646692
