# Pathway	28-7A-1-1_Abundance
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	14.9446053455
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	8.9932027893
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	8.8315341080
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	7.8470137145
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	7.7322211145
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_faecis	7.1683292665
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	6.7118448436
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eggerthella.s__Eggerthella_lenta	5.4596343710
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Clostridium.s__Clostridium_sp_CAG_58	5.1932564965
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	4.2796869502
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_sp_AF17_7	4.2287078915
PWY-1042: glycolysis IV	3185.5189436146
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	1001.3922433261
PWY-1042: glycolysis IV|unclassified	444.7034643025
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	149.7277535419
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	89.6448896851
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	78.8375372906
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	69.7219899502
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	34.1536878148
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	32.3774451342
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	24.4805465593
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	21.6557224427
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	8.3292559052
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_obeum	7.3188581237
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	7.0320398010
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	6.8766733329
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	2880.9901840693
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	899.8347810079
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	536.7786353135
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	282.2985986469
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	177.0600935231
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	112.0911799111
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Dorea.s__Dorea_longicatena	77.3435459408
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	61.7809705549
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcus.s__Ruminococcus_bicirculans	34.6861705421
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	29.6961787917
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	27.9393518395
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	22.5104565057
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Anaerostipes.s__Anaerostipes_hadrus	14.6258963049
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Agathobaculum.s__Agathobaculum_butyriciproducens	11.9066970207
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	9.7625072565
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parabacteroides.s__Parabacteroides_merdae	7.3484399063
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.2715898354
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Hungatella.s__Hungatella_hathewayi	4.2756627726
PWY-6609: adenine and adenosine salvage III	2796.6743790652
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	656.0107068826
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	607.8913977154
PWY-6609: adenine and adenosine salvage III|unclassified	386.4777076141
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Ruminococcus_torques	116.4542423055
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	104.1873822140
PWY-6609: adenine and adenosine salvage III|g__Dialister.s__Dialister_invisus	65.9848010762
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	55.3441169287
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp	53.4372861513
PWY-6609: adenine and adenosine salvage III|g__Dorea.s__Dorea_longicatena	52.1560061894
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	43.8496747830
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	42.3268798850
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_wexlerae	39.2791496865
PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	36.8311543635
PWY-6609: adenine and adenosine salvage III|g__Alistipes.s__Alistipes_finegoldii	32.9454502414
PWY-6609: adenine and adenosine salvage III|g__Oscillibacter.s__Oscillibacter_sp_57_20	32.3925768240
PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_bicirculans	31.4091673222
PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	25.6596939379
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	23.1356070037
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	19.1331496489
PWY-6609: adenine and adenosine salvage III|g__Anaerostipes.s__Anaerostipes_hadrus	17.9578765025
PWY-6609: adenine and adenosine salvage III|g__Coprococcus.s__Coprococcus_catus	10.5183287789
PWY-6609: adenine and adenosine salvage III|g__Parabacteroides.s__Parabacteroides_merdae	8.8312173264
PWY-6609: adenine and adenosine salvage III|g__Eggerthella.s__Eggerthella_lenta	8.5681766595
PWY-6609: adenine and adenosine salvage III|g__Asaccharobacter.s__Asaccharobacter_celatus	6.5459794531
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.1081498648
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_sp_CAG_52	4.8820198179
PWY-6609: adenine and adenosine salvage III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4.3297789625
PWY-6609: adenine and adenosine salvage III|g__Lachnoclostridium.s__Clostridium_clostridioforme	3.4390553031
PWY-6609: adenine and adenosine salvage III|g__Hungatella.s__Hungatella_hathewayi	1.8544274455
PWY-7221: guanosine ribonucleotides de novo biosynthesis	2792.2325705002
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	673.2979714032
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	497.3333963117
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	433.5660581275
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	195.8196477850
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	151.6095037786
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	65.9981751011
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	63.4307526001
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	61.7620118993
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	60.4849767246
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	31.4164713226
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_finegoldii	31.3191331668
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	28.7836885931
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	21.8224785120
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	18.3097120584
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	15.8727601376
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	12.2276783240
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_56	9.9404990285
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	9.6521135966
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	8.6317311346
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	7.2375988463
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5.2950843507
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.0999130028
PWY-5695: inosine 5'-phosphate degradation	2730.0338080357
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	694.7381826252
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	508.7812174983
PWY-5695: inosine 5'-phosphate degradation|unclassified	399.4611361962
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	161.1460322476
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	118.8118302319
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	72.7287814658
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	46.8996930510
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	31.2611230717
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	29.3783753897
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	19.0657187616
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	17.6273160798
PWY-5695: inosine 5'-phosphate degradation|g__Odoribacter.s__Odoribacter_splanchnicus	11.1528313931
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	9.9108355161
PWY-5695: inosine 5'-phosphate degradation|g__Agathobaculum.s__Agathobaculum_butyriciproducens	9.7310975012
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	2.8460883595
PWY-5695: inosine 5'-phosphate degradation|g__Hungatella.s__Hungatella_hathewayi	2.6467601748
PWY-5686: UMP biosynthesis I	2677.9778789625
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	649.7315631787
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	492.8239878201
PWY-5686: UMP biosynthesis I|unclassified	345.7018731381
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	159.7484452713
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	124.8690765852
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	67.6083591350
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	67.2362428810
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	62.0089263771
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	57.7584217899
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	49.0284137181
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	40.9356034046
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	32.8619724533
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	30.6727373413
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	28.3345179809
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	21.4000339325
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	11.7547373051
PWY-5686: UMP biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	7.3972828109
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.5135919224
PWY-7790: UMP biosynthesis II	2677.9778789625
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	649.7315631787
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	492.8239878201
PWY-7790: UMP biosynthesis II|unclassified	333.7226050455
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	166.6219531137
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	124.8690765852
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	67.6083591350
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	67.2362428810
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	62.0089263771
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	57.7584217899
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	49.0284137181
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	40.9356034046
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	32.8619724533
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	30.6727373413
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	28.3345179809
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	21.4000339325
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	11.7547373051
PWY-7790: UMP biosynthesis II|g__Parabacteroides.s__Parabacteroides_merdae	7.3972828109
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.5135919224
PWY-7791: UMP biosynthesis III	2677.9778789625
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	707.1387111332
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	492.8239878201
PWY-7791: UMP biosynthesis III|unclassified	333.7226050455
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	159.7484452713
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	124.8690765852
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	67.6083591350
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	67.2362428810
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	62.0089263771
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	57.7584217899
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	49.0284137181
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	40.9356034046
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	32.8619724533
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	30.6727373413
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	28.3345179809
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	21.4000339325
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	11.7547373051
PWY-7791: UMP biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	8.7609104277
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.5135919224
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	2640.3135124026
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	533.0563773756
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	457.1484624034
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	183.3530274480
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	118.2670516557
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	72.5037007974
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bicirculans	55.6688356830
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	23.2531302390
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	16.5191431254
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	10.7944494194
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	9.2849948331
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	5.0555632830
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Dorea.s__Dorea_longicatena	3.6146846578
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	1.5591022697
TRNA-CHARGING-PWY: tRNA charging	2624.7092353277
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_vulgatus	621.3190621003
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	493.1383838585
TRNA-CHARGING-PWY: tRNA charging|unclassified	388.0158105478
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_ovatus	154.7045513303
TRNA-CHARGING-PWY: tRNA charging|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	61.5305580870
TRNA-CHARGING-PWY: tRNA charging|g__Blautia.s__Ruminococcus_torques	51.1560354402
TRNA-CHARGING-PWY: tRNA charging|g__Gemmiger.s__Gemmiger_formicilis	34.6703639708
TRNA-CHARGING-PWY: tRNA charging|g__Dorea.s__Dorea_longicatena	34.0250308602
TRNA-CHARGING-PWY: tRNA charging|g__Anaerostipes.s__Anaerostipes_hadrus	14.9954525846
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	2583.6637900156
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_vulgatus	612.4555031767
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_uniformis	535.7767655345
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	278.4986028445
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Bacteroides.s__Bacteroides_ovatus	151.2575432841
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Ruminococcus_torques	145.1286349281
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Dorea.s__Dorea_longicatena	68.2180471465
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Dialister.s__Dialister_invisus	65.2311180430
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|g__Blautia.s__Blautia_sp	61.0156768034
