# Pathway	33-6-2_Abundance
UNINTEGRATED|g__Coprococcus.s__Coprococcus_catus	9063.8400569685
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	8273.8194662586
UNINTEGRATED|g__Eubacterium.s__Eubacterium_eligens	8215.1400344145
UNINTEGRATED|g__Alistipes.s__Alistipes_finegoldii	8191.4751060482
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	7134.6038565067
UNINTEGRATED|g__Blautia.s__Ruminococcus_gnavus	7085.7798658513
UNINTEGRATED|g__Roseburia.s__Roseburia_faecis	6168.8410376290
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	5310.2300283489
UNINTEGRATED|g__Roseburia.s__Roseburia_sp_CAG_182	5237.9239022328
UNINTEGRATED|g__Clostridium.s__Clostridium_disporicum	3486.9057503353
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	2956.8177853433
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	2895.5035537978
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	2843.4393779613
UNINTEGRATED|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	2506.3285632659
UNINTEGRATED|g__Streptococcus.s__Streptococcus_salivarius	2212.3003670874
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	1278.1536168605
UNINTEGRATED|g__Streptococcus.s__Streptococcus_parasanguinis	1139.9588168828
UNINTEGRATED|g__Clostridium.s__Clostridium_sp_CAG_58	979.8854556730
PWY-7238: sucrose biosynthesis II	2009.2244142167
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_torques	337.4906699638
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_obeum	244.0235056694
PWY-7238: sucrose biosynthesis II|unclassified	215.4076124436
PWY-7238: sucrose biosynthesis II|g__Dorea.s__Dorea_longicatena	208.1501624260
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp	114.6191076213
PWY-7238: sucrose biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	106.9503187983
PWY-7238: sucrose biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	94.7364752264
PWY-7238: sucrose biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	86.8826400341
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_wexlerae	77.5934449735
PWY-7238: sucrose biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	64.3281746387
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	41.0529361692
PWY-7238: sucrose biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	35.5022341821
PWY-7238: sucrose biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	23.3609155057
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp_CAG_52	20.8768829989
PWY-7238: sucrose biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	18.8359278475
PWY-7238: sucrose biosynthesis II|g__Roseburia.s__Roseburia_sp_CAG_182	17.2064907881
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	14.0900175743
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Blautia_sp_CAG_257	11.0569736702
PWY-7238: sucrose biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	9.2976592933
PWY-7238: sucrose biosynthesis II|g__Coprococcus.s__Coprococcus_catus	6.8891435324
PWY-7238: sucrose biosynthesis II|g__Erysipelatoclostridium.s__Clostridium_innocuum	6.5670797723
PWY-7238: sucrose biosynthesis II|g__Blautia.s__Ruminococcus_gnavus	6.4920143445
PWY-7238: sucrose biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	5.8566181429
PWY-7238: sucrose biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.0625795519
PWY-7238: sucrose biosynthesis II|g__Erysipelotrichaceae_unclassified.s__Erysipelotrichaceae_bacterium_3_1_53	1.6725520603
PWY-1042: glycolysis IV	1905.7422481543
PWY-1042: glycolysis IV|unclassified	348.0516843190
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	179.6629624487
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	137.1211525914
PWY-1042: glycolysis IV|g__Dorea.s__Dorea_longicatena	121.4762444047
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	101.0487626489
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	55.4824552467
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	27.3340932916
PWY-1042: glycolysis IV|g__Eggerthella.s__Eggerthella_lenta	20.2529036572
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	19.4378286663
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp_CAG_52	16.7209248129
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_faecis	9.2533729544
PWY-1042: glycolysis IV|g__Roseburia.s__Roseburia_sp_CAG_182	8.0648941288
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	7.1111568123
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	1838.8157493366
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	397.1242562233
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	238.7065781984
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Dorea.s__Dorea_longicatena	213.8817873706
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp	130.3582623829
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	123.3242904047
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Gemmiger.s__Gemmiger_formicilis	103.9967760013
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	89.9033806811
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	84.4182577599
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	51.2993664897
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	39.6964936808
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	38.9772958053
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	35.5492463848
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_ovatus	23.5641094516
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	15.9166532433
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_52	11.4819003540
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Clostridium.s__Clostridium_disporicum	7.4297555643
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_257	7.2868310563
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_clostridioforme	6.5813811596
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Roseburia.s__Roseburia_faecis	6.1634323170
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_gnavus	5.3850837194
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Hungatella.s__Hungatella_hathewayi	3.2711740438
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Erysipelatoclostridium.s__Clostridium_innocuum	3.2470602918
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1689.0301786922
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	270.6430679470
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	173.6340638740
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	116.7077172053
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	112.3417750233
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	97.6566894315
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	89.0154858512
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	74.5729799003
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	50.1273334263
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	47.7668482572
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	41.2948717790
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	36.3039074025
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	26.7140186549
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	19.9304252808
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	12.6090487156
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	11.5066606991
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp_CAG_257	5.7715332930
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3.4286729158
PWY-5686: UMP biosynthesis I	1658.5894668401
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	203.3117451395
PWY-5686: UMP biosynthesis I|unclassified	155.7319520236
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	126.2978549267
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	109.6639904395
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	99.7601049743
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	79.1834186701
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	71.4875531738
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	69.1085041478
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	61.2493011971
PWY-5686: UMP biosynthesis I|g__Anaerostipes.s__Anaerostipes_hadrus	51.7248576011
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	40.1746521723
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	34.1202474165
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	33.8271011105
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	30.3399906947
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	22.9364105417
PWY-5686: UMP biosynthesis I|g__Asaccharobacter.s__Asaccharobacter_celatus	10.0086990276
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	9.3923979200
PWY-5686: UMP biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	8.4168479128
PWY-7790: UMP biosynthesis II	1658.5894668401
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	203.3117451395
PWY-7790: UMP biosynthesis II|unclassified	155.7319520236
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	126.2978549267
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	109.6639904395
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	99.7601049743
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	79.1834186701
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	71.4875531738
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	69.1085041478
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	61.2493011971
PWY-7790: UMP biosynthesis II|g__Anaerostipes.s__Anaerostipes_hadrus	51.7248576011
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	40.1746521723
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	34.1202474165
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	33.8271011105
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	29.2919546947
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	22.9364105417
PWY-7790: UMP biosynthesis II|g__Asaccharobacter.s__Asaccharobacter_celatus	10.0086990276
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	9.3923979200
PWY-7790: UMP biosynthesis II|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	8.4168479128
PWY-7791: UMP biosynthesis III	1658.5894668401
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	203.3117451395
PWY-7791: UMP biosynthesis III|unclassified	155.7319520236
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	126.2978549267
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	109.6639904395
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	99.7601049743
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	79.1834186701
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	71.4875531738
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	69.1085041478
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	61.2493011971
PWY-7791: UMP biosynthesis III|g__Anaerostipes.s__Anaerostipes_hadrus	51.7248576011
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	40.5485151750
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	40.1746521723
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	34.1202474165
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	27.4567747504
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	22.9364105417
PWY-7791: UMP biosynthesis III|g__Asaccharobacter.s__Asaccharobacter_celatus	10.0086990276
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	9.3923979200
PWY-7791: UMP biosynthesis III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	8.4168479128
PWY-5941: glycogen degradation II	1621.5819507983
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_obeum	174.0603678168
PWY-5941: glycogen degradation II|g__Dorea.s__Dorea_longicatena	174.0320493255
PWY-5941: glycogen degradation II|unclassified	165.5274355313
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_sp	136.4886976713
PWY-5941: glycogen degradation II|g__Blautia.s__Ruminococcus_torques	98.3186605946
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_wexlerae	75.5425198295
PWY-5941: glycogen degradation II|g__Eubacterium.s__Eubacterium_hallii	71.3642175417
PWY-5941: glycogen degradation II|g__Anaerostipes.s__Anaerostipes_hadrus	67.5460368817
PWY-5941: glycogen degradation II|g__Blautia.s__Blautia_sp_CAG_52	16.6361082250
PWY-5941: glycogen degradation II|g__Erysipelatoclostridium.s__Clostridium_innocuum	7.4672556124
PWY-5941: glycogen degradation II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	4.7138440161
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	1619.9004429924
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|unclassified	458.9092977785
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Ruminococcus_torques	182.9070253495
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_sp	121.7768358920
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	117.6416247023
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	80.2597134375
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Dorea.s__Dorea_longicatena	70.2041745906
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_obeum	66.9367005993
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	43.9584417120
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	39.6155014662
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Eubacterium.s__Eubacterium_hallii	30.9034179210
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Eggerthella.s__Eggerthella_lenta	29.0273271394
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Blautia.s__Blautia_wexlerae	28.7927459223
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	27.6313261473
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	12.7069192007
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	10.7950160919
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	10.1939970302
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.7808389775
VALSYN-PWY: L-valine biosynthesis	1617.2042261051
VALSYN-PWY: L-valine biosynthesis|unclassified	475.6934144477
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	199.4720494863
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	134.0035408936
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	119.2741369233
VALSYN-PWY: L-valine biosynthesis|g__Dorea.s__Dorea_longicatena	99.8091714134
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	85.4218249953
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	82.5391072455
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	58.0328478707
VALSYN-PWY: L-valine biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	48.4344905249
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	43.6254205094
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	32.6671872297
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	30.2192802946
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	29.7404278042
VALSYN-PWY: L-valine biosynthesis|g__Eggerthella.s__Eggerthella_lenta	28.6596600150
VALSYN-PWY: L-valine biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	17.1545913019
VALSYN-PWY: L-valine biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	15.2100617112
VALSYN-PWY: L-valine biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	13.5285540192
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	13.1711589975
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	7.0446879328
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_faecis	6.7189793796
VALSYN-PWY: L-valine biosynthesis|g__Hungatella.s__Hungatella_hathewayi	4.7440715803
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.5515545445
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	1597.9140674623
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|unclassified	423.8303440098
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Ruminococcus_torques	182.9412696513
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_sp	122.5334176884
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_uniformis	117.5016875591
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Gemmiger.s__Gemmiger_formicilis	80.1565566425
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_obeum	67.0566635529
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Dorea.s__Dorea_longicatena	63.4827300355
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Anaerostipes.s__Anaerostipes_hadrus	39.5151109138
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Ruminococcus.s__Ruminococcus_bicirculans	39.1512950154
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eubacterium.s__Eubacterium_hallii	31.2632218611
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Eggerthella.s__Eggerthella_lenta	28.5191898205
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Blautia.s__Blautia_wexlerae	27.7779104533
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Bacteroides.s__Bacteroides_ovatus	26.1872209138
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnoclostridium.s__Clostridium_clostridioforme	13.1711589975
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	12.3148894694
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	12.2817471185
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Asaccharobacter.s__Asaccharobacter_celatus	11.0596156508
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.9020823845
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	1549.9819644819
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|unclassified	368.9145601369
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Ruminococcus_torques	196.4134137530
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Dorea.s__Dorea_longicatena	111.3404234393
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_sp	110.6706203044
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Gemmiger.s__Gemmiger_formicilis	99.5067635116
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_wexlerae	91.3452567245
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Anaerostipes.s__Anaerostipes_hadrus	50.4936663154
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Ruminococcus.s__Ruminococcus_bicirculans	40.4667156797
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eubacterium.s__Eubacterium_hallii	33.5530855794
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Blautia.s__Blautia_obeum	25.2009665022
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Eggerthella.s__Eggerthella_lenta	23.4111996767
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)|g__Asaccharobacter.s__Asaccharobacter_celatus	13.6983396152
