# Pathway	36-40-1B_Abundance
UNINTEGRATED|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	9440.2736954778
UNINTEGRATED|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_41	7567.0105676093
UNINTEGRATED|g__Asaccharobacter.s__Asaccharobacter_celatus	7498.6932700075
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	7040.1702706295
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_57_20	6981.4263332075
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	5075.8088185754
UNINTEGRATED|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	3948.4114369177
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_asparagiforme	3919.2075744834
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3917.0960604564
UNINTEGRATED|g__Intestinibacter.s__Intestinibacter_bartlettii	3845.2736731049
UNINTEGRATED|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	3249.9592183764
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_52	2852.6593733067
UNINTEGRATED|g__Absiella.s__Absiella_dolichum	2740.6649808810
UNINTEGRATED|g__Eubacterium.s__Eubacterium_sp_CAG_161	2451.9111315379
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	2197.6631819449
UNINTEGRATED|g__Blautia.s__Blautia_sp_CAG_257	1791.9876266666
UNINTEGRATED|g__Raoultella.s__Raoultella_ornithinolytica	1628.8984444505
UNINTEGRATED|g__Streptococcus.s__Streptococcus_vestibularis	956.9165735370
UNINTEGRATED|g__Lachnoclostridium.s__Lachnoclostridium_sp_An118	0.0000000000
PWY-1042: glycolysis IV	4185.9368098293
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	1390.3073266529
PWY-1042: glycolysis IV|unclassified	727.2056010159
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	155.1764256700
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_sp	111.3175129125
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	80.8553722534
PWY-1042: glycolysis IV|g__Ruminococcus.s__Ruminococcus_bicirculans	38.4765873891
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	27.6586623109
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	26.6002573521
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	22.3785347387
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	18.6969163846
PWY-1042: glycolysis IV|g__Anaerostipes.s__Anaerostipes_hadrus	18.5865801576
PWY-1042: glycolysis IV|g__Eggerthella.s__Eggerthella_lenta	15.3050836410
PWY-1042: glycolysis IV|g__Erysipelatoclostridium.s__Clostridium_innocuum	9.5150142618
PWY-1042: glycolysis IV|g__Streptococcus.s__Streptococcus_thermophilus	6.2293176869
PWY-1042: glycolysis IV|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.6112027262
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	3980.4949908844
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1533.9615204255
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	885.6666333749
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	389.2422731452
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	240.4422261242
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	235.8888743214
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	125.1231416660
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	108.5049411416
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_hallii	66.1991586843
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	62.7964178818
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	54.5946932045
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	25.0398884829
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	23.6876282312
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	15.1344721772
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eggerthella.s__Eggerthella_lenta	13.6978937313
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp	13.0582757808
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parabacteroides.s__Parabacteroides_merdae	12.1248345558
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Anaerostipes.s__Anaerostipes_hadrus	11.9486944719
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	10.0700130164
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	9.7604673769
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	8.8422307726
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_sp_CAG_52	7.6317482384
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	6.2283579828
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_asparagiforme	3.4320629349
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	2.1176256567
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1.6712094426
PWY-7221: guanosine ribonucleotides de novo biosynthesis	3608.8397911351
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	984.6919492542
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	588.8056374136
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	440.8308656541
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	320.6714235813
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	191.6530762919
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	187.8305057375
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	110.4802144477
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	57.8272088456
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	55.8594547398
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	32.1996932008
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	25.7129030010
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	23.6094084246
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Erysipelatoclostridium.s__Clostridium_innocuum	17.3393841626
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	16.3475271097
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	15.9638696884
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	13.7756243057
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Streptococcus.s__Streptococcus_thermophilus	8.6259086596
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bilophila.s__Bilophila_wadsworthia	8.2165344740
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Absiella.s__Absiella_dolichum	7.8094857672
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	4.4302546917
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3.4316324972
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp_CAG_257	2.5487361931
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	3407.0800801714
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|unclassified	531.6548641931
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_wexlerae	353.7965122305
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_obeum	340.6256941831
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Bacteroides.s__Bacteroides_ovatus	307.0040346709
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Ruminococcus_torques	261.6269355265
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	113.0658686848
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp	104.3076114935
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_hallii	86.4151739752
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	73.5389830121
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnoclostridium.s__Clostridium_clostridioforme	59.0497832575
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Ruminococcus.s__Ruminococcus_bicirculans	48.5393369280
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Gemmiger.s__Gemmiger_formicilis	34.7277876548
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	31.0900991355
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Eubacterium.s__Eubacterium_eligens	31.0691352892
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Anaerostipes.s__Anaerostipes_hadrus	25.4907291728
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	22.8745499859
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lawsonibacter.s__Lawsonibacter_asaccharolyticus	8.9919737071
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Blautia.s__Blautia_sp_CAG_52	8.1773996818
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Coprococcus.s__Coprococcus_catus	7.9797835419
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Erysipelatoclostridium.s__Clostridium_innocuum	7.8978100279
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Hungatella.s__Hungatella_hathewayi	5.8542069807
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	2.6669629505
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)|g__Clostridiales_unclassified.s__Clostridiales_bacterium_1_7_47FAA	1.4551150029
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	3339.4525165812
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	1177.0276500749
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	372.8651512595
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	351.3536102684
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	177.5323012864
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	166.1120317396
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	152.2859624396
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	133.3768241898
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	80.9229801114
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcus.s__Ruminococcus_bicirculans	32.0993764920
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_clostridioforme	27.3287030557
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_hallii	27.2167866964
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	22.9069190282
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eggerthella.s__Eggerthella_lenta	21.5047673904
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parabacteroides.s__Parabacteroides_merdae	11.6144670182
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Hungatella.s__Hungatella_hathewayi	9.8049135525
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parasutterella.s__Parasutterella_excrementihominis	5.6234788371
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	5.5060098546
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	3.1312626068
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_aldenense	1.5708605691
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	3306.4711950563
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	736.6240945901
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	438.0391916207
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	263.0609449569
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	140.3475168786
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	106.1938755056
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Ruminococcus.s__Ruminococcus_bicirculans	67.3633555776
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	33.8927916919
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.4373782984
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Eggerthella.s__Eggerthella_lenta	19.1536702060
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Anaerostipes.s__Anaerostipes_hadrus	16.4902330950
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	15.5190432497
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	5.2456795310
PWY-5686: UMP biosynthesis I	3287.2818907307
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	823.6095472861
PWY-5686: UMP biosynthesis I|unclassified	444.9427575228
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	347.5774966429
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	231.8056314248
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	149.3704418590
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	144.7254961537
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	94.5883514041
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	93.0237267671
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	77.7164586925
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	45.3019167243
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	41.2702555154
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	28.8598462642
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	24.1396703813
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	22.8211898737
PWY-5686: UMP biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	13.2069854970
PWY-5686: UMP biosynthesis I|g__Hungatella.s__Hungatella_hathewayi	12.4324210271
PWY-5686: UMP biosynthesis I|g__Parabacteroides.s__Parabacteroides_merdae	12.1435941003
PWY-5686: UMP biosynthesis I|g__Oscillibacter.s__Oscillibacter_sp_57_20	8.5813663071
PWY-5686: UMP biosynthesis I|g__Bilophila.s__Bilophila_wadsworthia	7.9875879377
PWY-5686: UMP biosynthesis I|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	7.4114006277
PWY-5686: UMP biosynthesis I|g__Asaccharobacter.s__Asaccharobacter_celatus	6.7688981534
PWY-7790: UMP biosynthesis II	3287.2818907307
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	823.6095472861
PWY-7790: UMP biosynthesis II|unclassified	444.9427575228
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	354.4831189861
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	231.8056314248
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	149.3704418590
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	144.7254961537
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	94.5883514041
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	93.0237267671
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	77.7164586925
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	43.3246744906
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	41.2702555154
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	28.8598462642
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	24.1396703813
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	22.8211898737
PWY-7790: UMP biosynthesis II|g__Eggerthella.s__Eggerthella_lenta	13.2069854970
PWY-7790: UMP biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	12.4324210271
PWY-7790: UMP biosynthesis II|g__Parabacteroides.s__Parabacteroides_merdae	12.1435941003
PWY-7790: UMP biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_57_20	8.5813663071
PWY-7790: UMP biosynthesis II|g__Bilophila.s__Bilophila_wadsworthia	7.9875879377
PWY-7790: UMP biosynthesis II|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	7.4114006277
PWY-7790: UMP biosynthesis II|g__Asaccharobacter.s__Asaccharobacter_celatus	6.7688981534
PWY-7791: UMP biosynthesis III	3287.2818907307
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	867.6039615698
PWY-7791: UMP biosynthesis III|unclassified	444.9427575228
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	362.5118156006
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	231.8056314248
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	149.3704418590
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	144.7254961537
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	94.5883514041
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	93.0237267671
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	77.7164586925
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	43.3246744906
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	41.2702555154
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	28.8598462642
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	24.1396703813
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	22.8211898737
PWY-7791: UMP biosynthesis III|g__Parabacteroides.s__Parabacteroides_merdae	14.0477976155
PWY-7791: UMP biosynthesis III|g__Eggerthella.s__Eggerthella_lenta	13.2069854970
PWY-7791: UMP biosynthesis III|g__Hungatella.s__Hungatella_hathewayi	12.4324210271
PWY-7791: UMP biosynthesis III|g__Oscillibacter.s__Oscillibacter_sp_57_20	8.5813663071
PWY-7791: UMP biosynthesis III|g__Bilophila.s__Bilophila_wadsworthia	7.9875879377
PWY-7791: UMP biosynthesis III|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	7.4114006277
PWY-7791: UMP biosynthesis III|g__Asaccharobacter.s__Asaccharobacter_celatus	6.7688981534
PWY-5695: inosine 5'-phosphate degradation	3261.0683560091
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	1021.2726257223
PWY-5695: inosine 5'-phosphate degradation|unclassified	383.3525617110
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	346.7042033778
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	170.0392085228
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	126.2953617461
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	89.8436765029
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	87.5904609971
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	46.4035745402
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	33.0346953117
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	25.1051327126
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	10.8227932704
PWY-5695: inosine 5'-phosphate degradation|g__Hungatella.s__Hungatella_hathewayi	10.6055598791
PWY-5695: inosine 5'-phosphate degradation|g__Coprococcus.s__Coprococcus_catus	10.0655520605
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	4.5276008382
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	3234.1068131482
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	1006.7376498788
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	416.6166072986
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|unclassified	216.2369462686
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Eggerthella.s__Eggerthella_lenta	20.4051066111
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bilophila.s__Bilophila_wadsworthia	10.0926419868
PWY-6609: adenine and adenosine salvage III	3167.0014826614
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	877.9839933070
PWY-6609: adenine and adenosine salvage III|unclassified	468.1241939593
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	216.1991190360
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	182.6706639701
