# Pathway	42-51-1B_Abundance
UNINTEGRATED|g__Eisenbergiella.s__Eisenbergiella_massiliensis	11314.0317029649
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	10234.4947253903
UNINTEGRATED|g__Blautia.s__Blautia_sp	6843.3453603550
UNINTEGRATED|g__Gemmiger.s__Gemmiger_formicilis	6636.1097804392
UNINTEGRATED|g__Erysipelatoclostridium.s__Clostridium_innocuum	6017.7285100139
UNINTEGRATED|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	4829.2173193419
UNINTEGRATED|g__Sellimonas.s__Sellimonas_intestinalis	3400.6781290623
UNINTEGRATED|g__Hungatella.s__Hungatella_effluvii	2847.8909585107
UNINTEGRATED|g__Lachnoclostridium.s__Clostridium_aldenense	2532.7329591751
UNINTEGRATED|g__Ruminococcus.s__Ruminococcus_bicirculans	2107.7882953769
UNINTEGRATED|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	597.9647985980
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	2987.3320436811
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1775.1268018628
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	269.9979344277
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	252.0993897692
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	237.1452177424
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	76.7147885663
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Ruminococcus_torques	68.9862132232
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eubacterium.s__Eubacterium_eligens	51.2624608306
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	45.3853748592
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_wexlerae	33.4846590395
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	31.9064797051
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Blautia.s__Blautia_obeum	31.8765337838
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	24.3251667683
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Roseburia.s__Roseburia_faecis	20.2943374604
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	15.3434922182
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Hungatella.s__Hungatella_hathewayi	13.6131040585
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	11.8751903687
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Eisenbergiella.s__Eisenbergiella_massiliensis	10.6053998427
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	8.5172829867
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lachnoclostridium.s__Clostridium_aldenense	3.0079942980
PWY-1042: glycolysis IV	2884.9292899203
PWY-1042: glycolysis IV|g__Bacteroides.s__Bacteroides_vulgatus	1475.0920225641
PWY-1042: glycolysis IV|unclassified	299.2812968616
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_clostridioforme	94.6424056470
PWY-1042: glycolysis IV|g__Blautia.s__Ruminococcus_torques	72.8156619304
PWY-1042: glycolysis IV|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	59.9893840342
PWY-1042: glycolysis IV|g__Eubacterium.s__Eubacterium_eligens	43.3778447742
PWY-1042: glycolysis IV|g__Blautia.s__Blautia_wexlerae	36.9660320121
PWY-1042: glycolysis IV|g__Hungatella.s__Hungatella_hathewayi	23.9728727917
PWY-1042: glycolysis IV|g__Lachnoclostridium.s__Clostridium_symbiosum	22.7537702170
PWY-7221: guanosine ribonucleotides de novo biosynthesis	2398.4301600951
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	1112.7916597654
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	313.1644207948
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	224.4385644789
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	153.7121346403
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	79.1672145273
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	70.6577625433
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	56.3296277217
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	48.2733460732
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	45.7378798846
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	27.7053179190
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Hungatella.s__Hungatella_hathewayi	23.0200357341
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Roseburia.s__Roseburia_faecis	15.3386577065
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	11.2316916349
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eisenbergiella.s__Eisenbergiella_massiliensis	8.4840711854
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_obeum	2.2343718973
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I	2395.8752724608
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	1150.6384074929
PWY-7229: superpathway of adenosine nucleotides de novo biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	213.3703820064
PWY66-429: fatty acid biosynthesis initiation (mitochondria)	2353.6325571844
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_vulgatus	1346.3151596353
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_ovatus	224.7705039581
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|unclassified	173.2697459605
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Bacteroides.s__Bacteroides_uniformis	148.0280906553
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Ruminococcus_torques	70.9622435800
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	42.9799725229
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	33.7442234660
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_obeum	33.1225207590
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	22.5510826275
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_clostridioforme	21.3795462077
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Lachnoclostridium.s__Clostridium_symbiosum	19.0800608024
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Hungatella.s__Hungatella_hathewayi	18.5711783274
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_sp	8.9252704341
VALSYN-PWY: L-valine biosynthesis	2316.9692038303
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	753.4769109105
VALSYN-PWY: L-valine biosynthesis|unclassified	410.6535604130
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	214.7452067018
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	164.3508217476
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Ruminococcus_torques	85.0984094316
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	54.8895456773
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_obeum	48.5840410490
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_wexlerae	44.3705826668
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_eligens	43.6935339045
VALSYN-PWY: L-valine biosynthesis|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	41.2809203527
VALSYN-PWY: L-valine biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	34.4770191629
VALSYN-PWY: L-valine biosynthesis|g__Hungatella.s__Hungatella_hathewayi	26.3488786208
VALSYN-PWY: L-valine biosynthesis|g__Lachnoclostridium.s__Clostridium_symbiosum	22.2006372462
VALSYN-PWY: L-valine biosynthesis|g__Roseburia.s__Roseburia_faecis	17.1781121375
VALSYN-PWY: L-valine biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	12.3131454058
VALSYN-PWY: L-valine biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	11.3425326118
VALSYN-PWY: L-valine biosynthesis|g__Eubacterium.s__Eubacterium_hallii	9.4446420590
VALSYN-PWY: L-valine biosynthesis|g__Blautia.s__Blautia_sp	9.1391512923
VALSYN-PWY: L-valine biosynthesis|g__Enterobacter.s__Enterobacter_cloacae	7.5061775932
VALSYN-PWY: L-valine biosynthesis|g__Eisenbergiella.s__Eisenbergiella_massiliensis	6.8166001946
VALSYN-PWY: L-valine biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	4.7688054754
VALSYN-PWY: L-valine biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	1.0752507673
PWY-5695: inosine 5'-phosphate degradation	2276.7744347301
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	1074.0412961718
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	142.5559995058
PWY-5695: inosine 5'-phosphate degradation|unclassified	136.7384998610
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	127.6685034001
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	96.8125303190
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	54.3607140697
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_clostridioforme	27.8895457001
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	26.5022317277
PWY-5695: inosine 5'-phosphate degradation|g__Hungatella.s__Hungatella_hathewayi	21.7315283931
PWY-5695: inosine 5'-phosphate degradation|g__Lachnoclostridium.s__Clostridium_symbiosum	15.5964753969
PWY-5695: inosine 5'-phosphate degradation|g__Eisenbergiella.s__Eisenbergiella_massiliensis	6.3316071672
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_obeum	2.5383435033
PWY-6609: adenine and adenosine salvage III	2163.7189558089
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_vulgatus	1002.5028277682
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_uniformis	176.6283840660
PWY-6609: adenine and adenosine salvage III|unclassified	151.0908784954
PWY-6609: adenine and adenosine salvage III|g__Bacteroides.s__Bacteroides_ovatus	117.0909175710
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Ruminococcus_torques	104.2556734669
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	73.8859938796
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_wexlerae	54.0217222422
PWY-6609: adenine and adenosine salvage III|g__Lachnoclostridium.s__Clostridium_clostridioforme	48.4488387303
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	39.0129460834
PWY-6609: adenine and adenosine salvage III|g__Hungatella.s__Hungatella_hathewayi	38.3680715647
PWY-6609: adenine and adenosine salvage III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	36.7839996909
PWY-6609: adenine and adenosine salvage III|g__Eubacterium.s__Eubacterium_eligens	36.4044356363
PWY-6609: adenine and adenosine salvage III|g__Roseburia.s__Roseburia_faecis	18.1012759638
PWY-6609: adenine and adenosine salvage III|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	15.8188141125
PWY-6609: adenine and adenosine salvage III|g__Lachnoclostridium.s__Clostridium_symbiosum	15.3394666112
PWY-6609: adenine and adenosine salvage III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	14.5110820256
PWY-6609: adenine and adenosine salvage III|g__Blautia.s__Blautia_obeum	9.5429567606
PWY-6609: adenine and adenosine salvage III|g__Ruminococcus.s__Ruminococcus_bicirculans	7.0223215813
PWY-6609: adenine and adenosine salvage III|g__Gemmiger.s__Gemmiger_formicilis	5.0318348151
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	2154.4249923419
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	1141.7020594485
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	196.9991112114
PWY-5686: UMP biosynthesis I	2153.8861587354
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	965.7597730466
PWY-5686: UMP biosynthesis I|unclassified	247.1324222412
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	140.5912701616
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	139.0759623519
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	86.7696959254
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	54.3979521573
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	51.9764459233
PWY-5686: UMP biosynthesis I|g__Lachnoclostridium.s__Clostridium_clostridioforme	44.8239897467
PWY-5686: UMP biosynthesis I|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	34.0761191464
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.0853633487
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	26.7256813587
PWY-5686: UMP biosynthesis I|g__Roseburia.s__Roseburia_faecis	20.0723334936
PWY-5686: UMP biosynthesis I|g__Hungatella.s__Hungatella_hathewayi	15.9749263948
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	14.6806972990
PWY-7790: UMP biosynthesis II	2153.8861587354
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	965.7597730466
PWY-7790: UMP biosynthesis II|unclassified	247.1324222412
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	140.5912701616
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	139.0759623519
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	86.7696959254
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	54.3979521573
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	51.9764459233
PWY-7790: UMP biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	44.8239897467
PWY-7790: UMP biosynthesis II|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	34.0761191464
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.0853633487
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	26.7256813587
PWY-7790: UMP biosynthesis II|g__Roseburia.s__Roseburia_faecis	20.0723334936
PWY-7790: UMP biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	15.9749263948
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	14.6806972990
PWY-7791: UMP biosynthesis III	2153.8861587354
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	973.7729334651
PWY-7791: UMP biosynthesis III|unclassified	247.1324222412
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	157.6725937873
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	140.5912701616
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	86.7696959254
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	54.3979521573
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	51.9764459233
PWY-7791: UMP biosynthesis III|g__Lachnoclostridium.s__Clostridium_clostridioforme	44.8239897467
PWY-7791: UMP biosynthesis III|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	34.0761191464
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	29.0853633487
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	26.7256813587
PWY-7791: UMP biosynthesis III|g__Roseburia.s__Roseburia_faecis	20.0723334936
PWY-7791: UMP biosynthesis III|g__Hungatella.s__Hungatella_hathewayi	15.9749263948
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	14.6806972990
PWY-6700: queuosine biosynthesis I (de novo)	2086.0758155917
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_vulgatus	1051.6904827838
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	233.3863260014
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_uniformis	187.8596912463
PWY-6700: queuosine biosynthesis I (de novo)|g__Bacteroides.s__Bacteroides_ovatus	155.2889697106
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Ruminococcus_torques	55.0900907364
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	54.3316975055
PWY-6700: queuosine biosynthesis I (de novo)|g__Eubacterium.s__Eubacterium_eligens	43.0059681467
PWY-6700: queuosine biosynthesis I (de novo)|g__Lachnoclostridium.s__Clostridium_clostridioforme	33.9601071736
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_124	24.8397528212
PWY-6700: queuosine biosynthesis I (de novo)|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	22.4439143792
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_wexlerae	19.7128612910
PWY-6700: queuosine biosynthesis I (de novo)|g__Hungatella.s__Hungatella_hathewayi	18.3978633911
PWY-6700: queuosine biosynthesis I (de novo)|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	17.2280582175
PWY-6700: queuosine biosynthesis I (de novo)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	15.6537520654
PWY-6700: queuosine biosynthesis I (de novo)|g__Roseburia.s__Roseburia_faecis	12.6634958319
PWY-6700: queuosine biosynthesis I (de novo)|g__Parasutterella.s__Parasutterella_excrementihominis	12.4781012407
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_obeum	8.4415821823
PWY-6700: queuosine biosynthesis I (de novo)|g__Ruminococcus.s__Ruminococcus_bicirculans	6.8371261577
PWY-6700: queuosine biosynthesis I (de novo)|g__Gemmiger.s__Gemmiger_formicilis	6.3686607215
PWY-6700: queuosine biosynthesis I (de novo)|g__Blautia.s__Blautia_sp	3.7462089765
PWY-6700: queuosine biosynthesis I (de novo)|g__Hungatella.s__Hungatella_effluvii	2.9123603752
PWY-3841: folate transformations II (plants)	2068.1066096721
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_vulgatus	929.2799315843
PWY-3841: folate transformations II (plants)|unclassified	305.8723734936
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_uniformis	179.8466959272
PWY-3841: folate transformations II (plants)|g__Bacteroides.s__Bacteroides_ovatus	127.1028338951
PWY-3841: folate transformations II (plants)|g__Blautia.s__Blautia_wexlerae	42.5982920082
PWY-3841: folate transformations II (plants)|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	33.4573851069
PWY-3841: folate transformations II (plants)|g__Blautia.s__Ruminococcus_torques	32.5826442731
PWY-3841: folate transformations II (plants)|g__Lachnoclostridium.s__Clostridium_clostridioforme	26.5327824576
PWY-3841: folate transformations II (plants)|g__Hungatella.s__Hungatella_hathewayi	21.8044241071
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)	2044.9808456802
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_vulgatus	799.5037212621
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_uniformis	144.7870953414
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Bacteroides.s__Bacteroides_ovatus	124.8752240482
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|unclassified	100.6079172448
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Blautia.s__Ruminococcus_torques	78.5793792347
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_clostridioforme	42.4084727767
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_hathewayi	30.3548773717
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Parasutterella.s__Parasutterella_excrementihominis	24.4327807285
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnoclostridium.s__Clostridium_symbiosum	9.2283274667
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	5.9702411489
PWY0-1586: peptidoglycan maturation (meso-diaminopimelate containing)|g__Hungatella.s__Hungatella_effluvii	4.0356826970
TRNA-CHARGING-PWY: tRNA charging	2021.1697265376
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_vulgatus	905.6323542238
TRNA-CHARGING-PWY: tRNA charging|unclassified	275.8924867187
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_ovatus	166.4015269269
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	143.6948025707
TRNA-CHARGING-PWY: tRNA charging|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	44.1982817350
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	2015.5226141279
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	919.7445136759
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	170.2884910335
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	161.7279420239
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	143.3207354799
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Ruminococcus_torques	71.2241721591
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	47.0647203601
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	44.7650914406
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_obeum	37.2424140992
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	35.8650010931
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_wexlerae	32.1921621150
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruminococcaceae_unclassified.s__Eubacterium_siraeum	31.7300237070
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnoclostridium.s__Clostridium_symbiosum	20.6570604878
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	18.6088246893
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Roseburia.s__Roseburia_faecis	16.1756856320
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	10.8464394012
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	10.0261616657
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_sp	9.5064326700
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Erysipelatoclostridium.s__Erysipelatoclostridium_ramosum	6.2556855179
