# Pathway	29-7A_Abundance
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Ruminococcus.s__Ruminococcus_bicirculans	13.8669919888
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Blautia.s__Blautia_wexlerae	11.9379997173
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_eligens	11.8407110359
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parasutterella.s__Parasutterella_excrementihominis	11.3456498585
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Eubacterium.s__Eubacterium_hallii	11.2916330150
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Parabacteroides.s__Parabacteroides_merdae	9.5446194646
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Anaerostipes.s__Anaerostipes_hadrus	6.7432711689
PWY66-429: fatty acid biosynthesis initiation (mitochondria)|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	2.2741933202
PWY-7221: guanosine ribonucleotides de novo biosynthesis	2085.8051037828
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	710.8577184224
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	472.5753394650
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	269.1638219569
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	162.3594257720
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Ruminococcus_torques	75.9760288158
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	45.0022851598
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dorea.s__Dorea_longicatena	32.8179308232
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Dialister.s__Dialister_invisus	29.6995223230
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_wexlerae	27.5639867105
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eubacterium.s__Eubacterium_eligens	21.8606876503
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Alistipes.s__Alistipes_finegoldii	20.1500643207
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Blautia.s__Blautia_sp	16.8141421683
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	13.3868241358
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	6.9525784034
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Agathobaculum.s__Agathobaculum_butyriciproducens	6.9153206651
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Eggerthella.s__Eggerthella_lenta	4.5033650269
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	3.3585222502
PWY-5686: UMP biosynthesis I	2057.5529475363
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	578.9752266330
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	484.4126329018
PWY-5686: UMP biosynthesis I|unclassified	240.3166846469
PWY-5686: UMP biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	129.1682670824
PWY-5686: UMP biosynthesis I|g__Blautia.s__Ruminococcus_torques	70.8922485480
PWY-5686: UMP biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	54.3015423680
PWY-5686: UMP biosynthesis I|g__Dialister.s__Dialister_invisus	33.8335044795
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_sp	28.8022161915
PWY-5686: UMP biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	20.1327165092
PWY-5686: UMP biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	16.9337414714
PWY-5686: UMP biosynthesis I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	16.4552064192
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_wexlerae	16.3136387730
PWY-5686: UMP biosynthesis I|g__Dorea.s__Dorea_longicatena	16.1171568809
PWY-5686: UMP biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	14.5433429314
PWY-5686: UMP biosynthesis I|g__Blautia.s__Blautia_obeum	9.1148152212
PWY-7790: UMP biosynthesis II	2057.5529475363
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	578.9752266330
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	484.4126329018
PWY-7790: UMP biosynthesis II|unclassified	240.3166846469
PWY-7790: UMP biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	131.9097939381
PWY-7790: UMP biosynthesis II|g__Blautia.s__Ruminococcus_torques	70.8922485480
PWY-7790: UMP biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	54.3015423680
PWY-7790: UMP biosynthesis II|g__Dialister.s__Dialister_invisus	33.8335044795
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_sp	28.8022161915
PWY-7790: UMP biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	20.1327165092
PWY-7790: UMP biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	16.9337414714
PWY-7790: UMP biosynthesis II|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	16.4552064192
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_wexlerae	16.3136387730
PWY-7790: UMP biosynthesis II|g__Dorea.s__Dorea_longicatena	16.1171568809
PWY-7790: UMP biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	14.5433429314
PWY-7790: UMP biosynthesis II|g__Blautia.s__Blautia_obeum	9.1148152212
PWY-7791: UMP biosynthesis III	2057.5529475363
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_vulgatus	578.9752266330
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_uniformis	484.4126329018
PWY-7791: UMP biosynthesis III|unclassified	240.3166846469
PWY-7791: UMP biosynthesis III|g__Bacteroides.s__Bacteroides_ovatus	133.2008313975
PWY-7791: UMP biosynthesis III|g__Blautia.s__Ruminococcus_torques	70.8922485480
PWY-7791: UMP biosynthesis III|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	54.3015423680
PWY-7791: UMP biosynthesis III|g__Dialister.s__Dialister_invisus	33.8335044795
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_sp	28.8022161915
PWY-7791: UMP biosynthesis III|g__Gemmiger.s__Gemmiger_formicilis	20.1327165092
PWY-7791: UMP biosynthesis III|g__Ruminococcus.s__Ruminococcus_bicirculans	16.9337414714
PWY-7791: UMP biosynthesis III|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_103	16.4552064192
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_wexlerae	16.3136387730
PWY-7791: UMP biosynthesis III|g__Dorea.s__Dorea_longicatena	16.1171568809
PWY-7791: UMP biosynthesis III|g__Eubacterium.s__Eubacterium_eligens	14.5433429314
PWY-7791: UMP biosynthesis III|g__Blautia.s__Blautia_obeum	9.1148152212
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	2050.0346971454
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_vulgatus	565.0022148221
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_uniformis	527.9652462876
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	308.8952284824
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Bacteroides.s__Bacteroides_ovatus	121.0222059147
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Ruminococcus_torques	63.0432214022
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	49.6884475433
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dialister.s__Dialister_invisus	28.5227838772
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Dorea.s__Dorea_longicatena	28.0564550183
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_obeum	27.4974532243
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_eligens	20.1603669941
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_sp	19.7125648167
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Ruminococcus.s__Ruminococcus_bicirculans	15.8073789099
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Blautia.s__Blautia_wexlerae	14.7570358002
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Gemmiger.s__Gemmiger_formicilis	14.5782704107
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Oscillibacter.s__Oscillibacter_sp_57_20	13.3192432364
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Odoribacter.s__Odoribacter_splanchnicus	11.6131356798
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Eubacterium.s__Eubacterium_hallii	11.3670492223
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Parasutterella.s__Parasutterella_excrementihominis	7.4484182956
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	4.5315722592
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|g__Hungatella.s__Hungatella_hathewayi	1.5758333590
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	2031.0620912960
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_vulgatus	543.6688615812
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_uniformis	523.3250938097
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	292.6168710531
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Bacteroides.s__Bacteroides_ovatus	116.9932856124
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	64.8820630161
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Ruminococcus_torques	62.6255560169
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dorea.s__Dorea_longicatena	33.6977300602
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_obeum	27.7833452613
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Alistipes.s__Alistipes_finegoldii	25.8865224815
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Dialister.s__Dialister_invisus	25.3251190373
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_sp	20.9040567415
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Gemmiger.s__Gemmiger_formicilis	19.3853777191
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_eligens	18.9856826410
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Blautia.s__Blautia_wexlerae	15.8830918568
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Ruminococcus.s__Ruminococcus_bicirculans	14.4926186012
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_57_20	12.9668717929
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Odoribacter.s__Odoribacter_splanchnicus	11.5451093632
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Eubacterium.s__Eubacterium_hallii	10.5213192916
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	9.1025214499
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Parasutterella.s__Parasutterella_excrementihominis	8.4149445310
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Asaccharobacter.s__Asaccharobacter_celatus	6.6813527052
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.9068525265
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Hungatella.s__Hungatella_hathewayi	2.9672811720
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Lachnoclostridium.s__Clostridium_clostridioforme	2.9184703501
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	2.0020200892
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	2031.0620912960
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_vulgatus	543.6688615812
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_uniformis	523.3250938097
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	292.6168710531
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Bacteroides.s__Bacteroides_ovatus	116.9932856124
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	64.8820630161
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Ruminococcus_torques	62.6255560169
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Dorea.s__Dorea_longicatena	33.6977300602
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Blautia_obeum	27.7833452613
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Alistipes.s__Alistipes_finegoldii	25.8865224815
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Dialister.s__Dialister_invisus	25.3251190373
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Blautia_sp	20.9040567415
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Gemmiger.s__Gemmiger_formicilis	19.3853777191
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_eligens	18.9856826410
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Blautia.s__Blautia_wexlerae	15.8830918568
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Ruminococcus.s__Ruminococcus_bicirculans	14.4926186012
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Oscillibacter.s__Oscillibacter_sp_57_20	12.9668717929
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Odoribacter.s__Odoribacter_splanchnicus	11.5451093632
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Eubacterium.s__Eubacterium_hallii	10.5213192916
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Adlercreutzia.s__Adlercreutzia_equolifaciens	9.1025214499
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Parasutterella.s__Parasutterella_excrementihominis	8.4149445310
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Asaccharobacter.s__Asaccharobacter_celatus	6.6813527052
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnospiraceae_unclassified.s__Eubacterium_rectale	3.9068525265
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Hungatella.s__Hungatella_hathewayi	2.9672811720
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Lachnoclostridium.s__Clostridium_clostridioforme	2.9184703501
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|g__Proteobacteria_unclassified.s__Proteobacteria_bacterium_CAG_139	2.0020200892
PWY-5695: inosine 5'-phosphate degradation	2030.9175911336
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_vulgatus	681.7046776731
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_uniformis	454.8517520488
PWY-5695: inosine 5'-phosphate degradation|unclassified	239.6878689601
PWY-5695: inosine 5'-phosphate degradation|g__Bacteroides.s__Bacteroides_ovatus	144.7895228568
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Ruminococcus_torques	34.3796501277
PWY-5695: inosine 5'-phosphate degradation|g__Dorea.s__Dorea_longicatena	23.6900376783
PWY-5695: inosine 5'-phosphate degradation|g__Dialister.s__Dialister_invisus	21.6330835942
PWY-5695: inosine 5'-phosphate degradation|g__Ruminococcus.s__Ruminococcus_bicirculans	12.2826770000
PWY-5695: inosine 5'-phosphate degradation|g__Eubacterium.s__Eubacterium_eligens	10.9701900485
PWY-5695: inosine 5'-phosphate degradation|g__Odoribacter.s__Odoribacter_splanchnicus	9.8602074811
PWY-5695: inosine 5'-phosphate degradation|g__Anaerostipes.s__Anaerostipes_hadrus	9.4241405571
PWY-5695: inosine 5'-phosphate degradation|g__Blautia.s__Blautia_wexlerae	5.7112509204
TRNA-CHARGING-PWY: tRNA charging	2011.6876785006
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_vulgatus	561.6623366886
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_uniformis	465.2144976916
TRNA-CHARGING-PWY: tRNA charging|unclassified	257.8105474222
TRNA-CHARGING-PWY: tRNA charging|g__Bacteroides.s__Bacteroides_ovatus	121.8013352948
TRNA-CHARGING-PWY: tRNA charging|g__Faecalibacterium.s__Faecalibacterium_prausnitzii	57.1566229642
TRNA-CHARGING-PWY: tRNA charging|g__Blautia.s__Ruminococcus_torques	31.7474802380
TRNA-CHARGING-PWY: tRNA charging|g__Gemmiger.s__Gemmiger_formicilis	22.8489900463
NONMEVIPP-PWY: methylerythritol phosphate pathway I	2004.9438981162
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_vulgatus	547.6825059970
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_uniformis	531.6102918767
NONMEVIPP-PWY: methylerythritol phosphate pathway I|unclassified	208.0148561965
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Bacteroides.s__Bacteroides_ovatus	126.2808749555
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Ruminococcus_torques	60.1243500394
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Dorea.s__Dorea_longicatena	39.1571370294
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Firmicutes_unclassified.s__Firmicutes_bacterium_CAG_83	24.5461745096
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Blautia.s__Blautia_obeum	21.0523658600
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Eubacterium.s__Eubacterium_eligens	14.0326406227
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Oscillibacter.s__Oscillibacter_sp_57_20	12.8383758591
NONMEVIPP-PWY: methylerythritol phosphate pathway I|g__Ruminococcus.s__Ruminococcus_bicirculans	12.7148520257
