species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Actinomyces_sp._HMT_175,,,52.0,,,24.0,,,,,,,,,,,,,,,,,61.0,,,139.0,,,,,,,,,,,
Actinomyces_sp._oral_taxon_169,,,88.0,41.0,6.0,25.0,59.0,25.0,,,11.0,,,,,,,11.0,,,70.0,,,,14.0,141.0,,13.0,,,,,,,100.0,,
Actinomyces_sp._oral_taxon_171,,8.0,,,7.0,33.0,45.0,,,,,7.0,,,4.0,,6.0,10.0,,,,,20.0,,,,,,,,,,,,,12.0,
Actinomyces_sp._oral_taxon_414,,,,,,,,4.0,,2.0,,,,,,1.0,,,,,7.0,,1.0,,2.0,,,,,,,4.0,,,,,2.0
Actinomyces_viscosus,,,,,,,,,,,,,,,9.0,,,,,,,,,,3.0,5.0,,,,2.0,,,,,,,
Actinomyces_wuliandei,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,
Acutalibacter_muris,,1.0,1.0,4.0,,,,2.0,6.0,,,,4.0,,,,1.0,1.0,,,,,,,,,,,,2.0,3.0,,,,,,
Adlercreutzia_equolifaciens,180.0,242.0,,938.0,115.0,367.0,110.0,,,260.0,135.0,53.0,226.0,32.0,146.0,51.0,165.0,70.0,216.0,49.0,324.0,,340.0,117.0,420.0,,,30.0,,,9.0,,151.0,,,36.0,243.0
Adlercreutzia_hattorii,11263.0,17803.0,,2504.0,49879.0,137662.0,56134.0,,,2550.0,8401.0,4404.0,13987.0,2191.0,11813.0,3909.0,9953.0,5420.0,13956.0,2331.0,4588.0,4.0,1571.0,9005.0,767.0,3.0,,12477.0,,,55.0,,9235.0,1.0,,248.0,497.0
Aequoribacter_fuscus,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aerococcus_urinaeequi,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Aerococcus_viridans,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,,,,,,,,,,
Aeromonas_allosaccharophila,,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,23.0,,707.0,,,,,
Afonbuvirus_coli,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,
Agathobacter_rectalis,25987.0,16224.0,8274.0,17897.0,16.0,54.0,21.0,2044.0,320.0,80514.0,7611.0,3675.0,9581.0,3524.0,14818.0,1327.0,7011.0,24256.0,2498.0,2312.0,295.0,31.0,57392.0,293.0,22058.0,662.0,,306.0,26.0,14984.0,107.0,1177.0,1141.0,1.0,434.0,20837.0,454.0
Agathobaculum_sp._NTUH-O15-33,18.0,4.0,,1.0,,,,109.0,,20.0,18.0,6.0,43.0,13.0,46.0,3.0,44.0,135.0,13.0,225.0,70.0,,27.0,10.0,2.0,,,,,,,,7.0,,,25.0,88.0
Aggregatibacter_aphrophilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Agrococcus_beijingensis,,,,,,,,,,8.0,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,
Akkermansia_massiliensis,,,,,,,,,,,,,,,,,,,,,,281.0,,,,,,,,,,,,,,,
Akkermansia_muciniphila,,,1.0,15028.0,,6.0,,,,8.0,,,,,,,1.0,,2.0,1.0,1.0,7.0,36112.0,,20779.0,,,35.0,1.0,,4132.0,,,110.0,,28127.0,14251.0
Akkermansia_sp._AE01SA01,64.0,330.0,,,,,,,,,293.0,140.0,465.0,68.0,157.0,18.0,413.0,219.0,123.0,19574.0,,,,205.0,,,,,,,,,306.0,,,,
Akkermansia_sp._EB-AMDK43,,,,,,,,,,,,,,,,,,,,,,,,,2275.0,,,,,,,,,,,,
Akkermansia_sp._RCC_12PD,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,
Alistipes_communis,4090.0,,7.0,6228.0,1.0,,,217.0,,993.0,10887.0,6433.0,18891.0,4166.0,4366.0,1805.0,417.0,,,,41.0,,1954.0,,448.0,134.0,,,,,105.0,,,5.0,,812.0,9710.0
Alistipes_dispar,,,,6.0,,,,,,,,,,,,,,,,,16.0,,196.0,,,,,,,,,,,,,1.0,39.0
Alistipes_finegoldii,32.0,,,37.0,,3.0,,4258.0,,7662.0,27064.0,18276.0,5284.0,8833.0,22563.0,3261.0,20.0,,,,1581.0,2.0,568.0,,5188.0,6.0,,,,,,,,,,5180.0,5555.0
Alistipes_ihumii,,,1.0,1836.0,,,,,,5.0,,,,,,,,,,,,1.0,462.0,,2432.0,,,,,,36.0,,,1.0,,386.0,1866.0
Alistipes_indistinctus,,,,,,,,,,184.0,,,,,,,,,,,,,63.0,,61.0,,,,,,,,,,,137.0,825.0
Alistipes_megaguti,1.0,4.0,,,,,,,42.0,,5.0,,1.0,,,,10.0,207.0,,,772.0,,,23.0,5.0,,,,,,,,,,,45.0,1.0
Alistipes_onderdonkii,122.0,17.0,15.0,42804.0,,,,11840.0,,29108.0,903.0,502.0,480.0,308.0,628.0,116.0,34.0,,72.0,,8678.0,7.0,1755.0,,581.0,3.0,,,,,7573.0,,217.0,86.0,,35204.0,297410.0
Alistipes_senegalensis,,29.0,,32.0,,,,2.0,,10.0,12.0,5.0,4.0,5.0,13.0,1.0,,,42.0,17.0,2.0,,692.0,,245.0,2.0,,,,,,,,,,1753.0,194.0
Alistipes_shahii,,32.0,,3375.0,,11.0,,,,15886.0,13.0,6.0,15.0,,7.0,,21.0,,,,625.0,,15445.0,,17772.0,582.0,,,,,252.0,,,,,2718.0,5649.0
Alistipes_sp._dk3624,,,,,,,,,,1807.0,,,,,,,,,,,,,600.0,,,,,,,,,,,,,156.0,
Alkalibacterium_putridalgicola,,,,,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allocoprobacillus_halotolerans,1.0,,,4.0,12.0,5.0,11.0,1.0,,,1.0,,2.0,,,,2.0,1.0,1.0,1.0,14.0,10.0,,,2.0,,3.0,16.0,,,,,1.0,,,,
Amedibacterium_intestinale,20.0,6.0,,355.0,8.0,1.0,4.0,9.0,2.0,8.0,5.0,8.0,3.0,1.0,11.0,3.0,1.0,14.0,9.0,1.0,235.0,5.0,26.0,1.0,38.0,5.0,,6.0,5.0,,4.0,,1.0,,5.0,,3.0
Aminipila_luticellarii,,,,1.0,,,44.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphibacillus_xylanus,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amygdalobacter_nucleatus,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerobutyricum_hallii,9483.0,8890.0,3293.0,16984.0,12.0,24.0,6.0,195.0,255.0,17745.0,9554.0,4099.0,17970.0,3243.0,25985.0,3693.0,21002.0,314.0,13252.0,4019.0,8417.0,1532.0,12454.0,4172.0,17015.0,39725.0,2.0,33.0,10.0,2859.0,603.0,1060.0,3639.0,3.0,464.0,15724.0,29868.0
Anaerococcus_mediterraneensis,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Anaerococcus_nagyae,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Anaerococcus_obesiensis,,,,,,,,,,,,,,,,,,,,,,76.0,,,,763.0,,,,,,,,,,,
Anaerococcus_prevotii,,,,,,,1.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,16.0,,,,1.0,
Anaerococcus_vaginalis,,,,,,,,,,,,,,,,,,,,,,13.0,,,,792.0,,,,,,,,,,,
Anaerocolumna_cellulosilytica,,,,,3.0,1.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaeropeptidivorans_aminofermentans,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
Anaerostipes_caccae,,1.0,,11.0,46.0,23.0,346.0,1452.0,137.0,16.0,,,3.0,,5.0,,4.0,5.0,,,974.0,1083.0,21.0,1.0,2.0,6689.0,,528.0,,,,,,,147.0,21.0,88.0
Anaerostipes_hadrus,5956.0,2026.0,1.0,7982.0,262.0,1081.0,24.0,10.0,1.0,32982.0,8117.0,2917.0,14123.0,3721.0,28794.0,5718.0,5873.0,40842.0,8735.0,532.0,6.0,3937.0,14664.0,2664.0,8744.0,266.0,,6247.0,4.0,,417.0,1.0,434.0,5.0,4.0,10189.0,9992.0
Anaerostipes_rhamnosivorans,,,,,,,,,23.0,,,,,,,,,,,2.0,,,,,,1.0,,1.0,,,,,,,,,
Anaerostipes_sp._PC18,4.0,,,,2.0,70.0,628.0,6.0,2878.0,,30.0,7.0,39.0,18.0,39.0,2.0,31.0,,1.0,1.0,1.0,1.0,,3.0,,130.0,,584.0,,1.0,,,7.0,,,1.0,1.0
Anaerotignum_sp._MB30-C6,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaerotruncus_colihominis,1975.0,3421.0,48.0,5234.0,131.0,1097.0,330.0,264.0,3527.0,522.0,1273.0,556.0,4948.0,323.0,1307.0,418.0,3888.0,886.0,4497.0,1900.0,116.0,934.0,816.0,1909.0,498.0,10.0,,5984.0,,27.0,256.0,8.0,1488.0,,33.0,1818.0,5463.0
Arachnia_propionica,,,4.0,,,,,3.0,,6.0,,,,,1.0,,,,,,5.0,,,,,4.0,,,,,,,,,,1.0,
Arachnia_rubra,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
Atopobium_sp._oral_taxon_416,,,,,,,,147.0,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,1.0,,
Bacillus_cereus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,19.0,
Bacillus_paralicheniformis,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
Bacteroides_caccae,,,,79078.0,,4.0,,290.0,156678.0,9252.0,1.0,5.0,1.0,,4.0,1.0,,,,,61280.0,42.0,9925.0,,8464.0,,,,65.0,,3307.0,,1.0,52.0,8.0,5409.0,1380.0
Bacteroides_caecimuris,,,,18.0,,,,,687.0,156.0,,,,,,,,,,2.0,1.0,,282.0,,89.0,,,,69.0,,,,,,7.0,2.0,38.0
Bacteroides_cellulosilyticus,8.0,,,,,,,10848.0,,13007.0,25.0,22.0,24.0,4.0,12.0,,7.0,,,,257.0,,66.0,,93.0,126.0,,,,,,,,,,2338.0,180.0
Bacteroides_eggerthii,44.0,2.0,,46490.0,20.0,11.0,5.0,5.0,1068.0,616.0,90.0,54.0,131.0,14.0,13.0,6.0,19.0,,4.0,20.0,543.0,3.0,1604.0,33.0,39084.0,,,41.0,,,8376.0,,,74.0,12.0,,20.0
Bacteroides_faecis,173.0,27.0,,190.0,708.0,155.0,670.0,148272.0,1981.0,54180.0,215.0,135.0,307.0,185.0,185.0,10.0,72.0,,,120.0,9285.0,1.0,52341.0,86.0,79.0,,,347.0,17.0,,72.0,,14.0,5.0,,35.0,70.0
Bacteroides_faecium,19.0,26.0,,31.0,,,,2.0,202.0,17.0,12.0,6.0,20.0,2.0,3.0,,18.0,13.0,30.0,845.0,,,4.0,20.0,33.0,,,,,,2.0,,10.0,,1.0,,
Bacteroides_finegoldii,49.0,3.0,,,,,,26.0,862.0,9185.0,72.0,29.0,115.0,41.0,78.0,,45.0,,,26.0,162.0,,3363.0,26.0,639.0,,,,,,,,3.0,,34.0,81.0,71.0
Bacteroides_fragilis,1026.0,565.0,,597.0,1507.0,480.0,858.0,18027.0,315783.0,1530.0,910.0,558.0,840.0,2275.0,1959.0,13.0,1009.0,319.0,800.0,1264.0,63567.0,199930.0,1361.0,301.0,502.0,1620.0,6.0,3180.0,7.0,,82.0,,135.0,4.0,213.0,224.0,11338.0
Bacteroides_helcogenes,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,11.0,,,3.0,,,,,,,,,,,
Bacteroides_heparinolyticus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,
Bacteroides_humanifaecis,368.0,81.0,,7300.0,,,,173.0,,8544.0,706.0,521.0,1463.0,92.0,437.0,52.0,286.0,,,287.0,554.0,,3430.0,243.0,38.0,,,39.0,,,697.0,,,,1251.0,726.0,1669.0
Bacteroides_intestinalis,,,,,,1.0,,13.0,481.0,,,,1.0,,,,,,,,,,43.0,,3556.0,1.0,,,,,,,,,,17.0,7.0
Bacteroides_luhongzhouii,2.0,2.0,,,,,,5.0,1170.0,19.0,2.0,,10.0,,,,4.0,,2.0,78.0,,,56.0,4.0,,,,,,,,,2.0,,11.0,13.0,4.0
Bacteroides_nordii,,,,,,,,,4.0,407.0,,,,,,,,1.0,,,,,827.0,,2.0,,,,,,,,,,,457.0,9.0
Bacteroides_ovatus,246000.0,128659.0,14.0,5242.0,390787.0,70075.0,380260.0,190725.0,10806.0,11161.0,209453.0,120331.0,335985.0,78077.0,84729.0,10697.0,477685.0,57.0,3964.0,146230.0,105.0,722.0,22493.0,307528.0,7100.0,8059.0,,194493.0,54.0,2.0,1116.0,,92678.0,66.0,1625.0,11772.0,11400.0
Bacteroides_salyersiae,37.0,8.0,,363.0,,,,15.0,,24497.0,25.0,24.0,65.0,14.0,12.0,1.0,21.0,46.0,9.0,15.0,2.0,,42.0,5.0,,,,,,,20.0,,4.0,1.0,12.0,12.0,1704.0
Bacteroides_sp._A1C1,2896.0,888.0,,731.0,28.0,28.0,,572.0,908.0,14140.0,5176.0,3064.0,5554.0,1566.0,2481.0,245.0,1423.0,,,1085.0,424.0,,881.0,1478.0,93.0,,,61.0,,,40.0,,127.0,,103.0,218.0,60.0
Bacteroides_sp._CACC_737,,,,205.0,154.0,66.0,116.0,1764.0,,4724.0,,,,,,,,,,,194.0,,9068.0,,,,,213.0,,,,,,,235.0,746.0,2990.0
Bacteroides_sp._D2,8.0,8.0,,52.0,,,,,92.0,147.0,25.0,,,,,,,,,42.0,,,331.0,,16.0,81.0,,,,,11.0,,,,,338.0,150.0
Bacteroides_sp._DH3716P,4549.0,2456.0,,6567.0,,,,358.0,16157.0,2145.0,4069.0,2956.0,7221.0,1081.0,1580.0,269.0,8827.0,,168.0,2471.0,,,394.0,4962.0,554.0,,,,,,427.0,,2155.0,,1292.0,2077.0,2538.0
Bacteroides_sp._HF-162,2101.0,331.0,,982.0,8363.0,3878.0,3857.0,,,6848.0,2779.0,1441.0,3444.0,727.0,734.0,58.0,843.0,,,1082.0,65.0,7.0,625.0,1260.0,,252.0,,31618.0,,,,,45.0,,535.0,363.0,
Bacteroides_sp._M10,14.0,5.0,,12.0,813.0,130.0,920.0,456.0,110.0,34.0,14.0,5.0,19.0,,,,9.0,,6.0,331.0,2.0,,67.0,5.0,47.0,67.0,,489.0,,,,,27.0,,,52.0,17.0
Bacteroides_sp._MSB163,,,,2.0,,,,32.0,,72.0,,,,,,,,,,,3.0,,1164.0,,39.0,,,,,,,,,,239.0,44.0,160.0
Bacteroides_sp._ZJ-18,,,,84.0,237.0,,,,117.0,,,,,,,,,,,,220.0,569.0,,,,,,148.0,,,,,,,,,
Bacteroides_stercoris,1.0,,,81.0,,7.0,,83.0,116930.0,138005.0,,1.0,3.0,,1.0,,,,,,23318.0,1.0,152071.0,,11454.0,448.0,,,23.0,,1.0,,,,,5394.0,47.0
Bacteroides_thetaiotaomicron,1105.0,518.0,8.0,9657.0,1472.0,540.0,580.0,4560.0,2205.0,3252.0,1883.0,973.0,1144.0,28485.0,29261.0,53.0,1147.0,72.0,494.0,832.0,705.0,2.0,2078.0,464.0,5879.0,276.0,9.0,4500.0,186714.0,,7556.0,445.0,204.0,194.0,34069.0,3058.0,11059.0
Bacteroides_uniformis,231230.0,48778.0,25.0,143137.0,162159.0,62477.0,66237.0,113412.0,48.0,73070.0,380359.0,267009.0,444644.0,153495.0,146287.0,21317.0,121089.0,11.0,411.0,132125.0,9265.0,4.0,218680.0,130662.0,11833.0,4599.0,124.0,511964.0,,,8093.0,,14664.0,122.0,123200.0,5317.0,13101.0
Bacteroides_xylanisolvens,614.0,301.0,,2688.0,66.0,,,15070.0,228821.0,11960.0,575.0,240.0,911.0,190.0,277.0,,1226.0,,11.0,434.0,1764.0,,6901.0,646.0,921.0,248.0,,7.0,349.0,,609.0,,314.0,85.0,16226.0,635.0,1938.0
Bacteroides_zhangwenhongii,43.0,68.0,,1745.0,,,,4.0,4.0,1206.0,35.0,27.0,82.0,5.0,,,84.0,,146.0,2700.0,5.0,,349.0,53.0,40.0,,,,,,233.0,,4.0,,,,9.0
Barnesiella_sp._An22,40.0,7.0,,,593.0,261.0,158.0,2.0,6.0,,41.0,31.0,55.0,8.0,11.0,,16.0,,,20.0,40.0,,9.0,20.0,54.0,,,1417.0,,,,,1.0,,,5.0,4.0
Barnesiella_viscericola,,,,3.0,5.0,1.0,,18.0,75.0,,2.0,,,,1.0,,,,,,29.0,,2.0,,10.0,,,1.0,,,,,,,,,3.0
Bifidobacterium_adolescentis,,1.0,,4037.0,126.0,14.0,2971.0,11487.0,,60684.0,63.0,10.0,,15.0,135.0,20.0,,19.0,,,104.0,6.0,232.0,,16110.0,,,1.0,,,,,,,,10618.0,524.0
Bifidobacterium_angulatum,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium_animalis,,,,,37.0,,247.0,,,,,,,,,,,,,,113497.0,,,,,,,,,,,,,,,,
Bifidobacterium_bifidum,,,,111.0,,,,,28.0,4817.0,,,,,,,,,,,,,,,214.0,,37.0,,,,,,,,,,
Bifidobacterium_breve,,1.0,11.0,,30050.0,1538.0,589501.0,1039.0,,71.0,1.0,,8.0,,3.0,,4.0,11.0,8.0,4.0,48.0,6.0,2.0,5.0,242.0,30.0,170.0,5.0,,,,,2.0,,2.0,135.0,
Bifidobacterium_catenulatum,,,,53.0,,,,,,1916.0,,,5.0,,,,,,,,,,,,,,54.0,1.0,,,1.0,,,,,33.0,16.0
Bifidobacterium_dentium,,,2281.0,3.0,60.0,26.0,2.0,944.0,,,2.0,,,,,,1.0,,2.0,5.0,85.0,1.0,36.0,,862.0,2401.0,53.0,,8.0,5476.0,,871.0,,,22.0,4.0,3.0
Bifidobacterium_faecale,,,,,,,,45.0,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,421.0,
Bifidobacterium_longum,11.0,,35.0,3.0,137.0,1.0,3000.0,83098.0,17004.0,33686.0,,,,,,,,2.0,,3.0,,2.0,3809.0,,23942.0,3532.0,49.0,2.0,,11.0,,,3.0,,146.0,11032.0,353.0
Bifidobacterium_pseudocatenulatum,7.0,6.0,,631.0,,,,25.0,2.0,32778.0,4.0,1.0,5.0,3.0,12.0,1.0,3.0,10.0,10.0,12.0,,,102.0,1.0,50.0,6.0,1031.0,,,,31.0,,2.0,,,1177.0,1588.0
Bifidobacterium_pullorum,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bifidobacterium_scardovii,,,2513.0,1.0,,,,,,,,,,,,,,,,,8473.0,,,,,1006.0,,,2.0,530.0,,196.0,,,,,
Bifidobacterium_thermophilum,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0
Birpovirus_hiberniae,,,,,,,,,,,,,,,,,,,,,63.0,,,,20.0,,,,,,,,,,,,
Birpovirus_hominis,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Blautia_argi,6.0,6.0,58.0,49.0,3.0,8.0,5.0,36.0,15.0,1.0,6.0,6.0,27.0,,1.0,1.0,19.0,12.0,4.0,3.0,136.0,89.0,29.0,6.0,,94.0,,23.0,11.0,121.0,,41.0,6.0,,23.0,,26.0
Blautia_coccoides,255.0,714.0,934.0,,1665.0,1523.0,5274.0,792.0,319.0,20.0,84.0,50.0,637.0,26.0,163.0,114.0,403.0,30.0,205.0,121.0,194.0,1463.0,60.0,130.0,8.0,1570.0,,8124.0,41.0,1001.0,,971.0,138.0,,978.0,243.0,
Blautia_hansenii,1.0,1.0,105.0,7.0,,,,97.0,6777.0,29.0,1.0,,1.0,,1.0,1.0,,64.0,,,83.0,962.0,7159.0,,4.0,31.0,,,,35.0,,14.0,1.0,,1.0,10.0,3.0
Blautia_hydrogenotrophica,2.0,2.0,,4852.0,7859.0,10460.0,2174.0,581.0,18.0,1093.0,,,4.0,1.0,,,2.0,1.0,1.0,5.0,59.0,13247.0,20277.0,4.0,63.0,18133.0,,14896.0,,,144.0,1.0,1.0,3.0,,4355.0,84.0
Blautia_liquoris,,,,,29.0,12.0,31.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Blautia_luti,541.0,421.0,267.0,145.0,43.0,182.0,2.0,51.0,1372.0,388.0,241.0,68.0,379.0,76.0,1009.0,54.0,1206.0,594.0,678.0,124.0,333.0,11.0,367.0,99.0,2427.0,100.0,,23.0,13.0,588.0,,150.0,215.0,,941.0,186.0,431.0
Blautia_obeum,4802.0,7371.0,33.0,13151.0,5.0,122.0,17.0,1208.0,204.0,4235.0,11953.0,4197.0,15951.0,1507.0,11924.0,5785.0,10872.0,4406.0,14005.0,4978.0,3047.0,50.0,1231.0,3982.0,4864.0,11863.0,,123.0,,14.0,310.0,2.0,5938.0,2.0,29.0,62633.0,12929.0
Blautia_parvula,1.0,5.0,1204.0,510.0,25.0,23.0,13.0,2179.0,4694.0,306.0,1.0,,3.0,,8.0,,4.0,48.0,21.0,16.0,2419.0,29016.0,685.0,6.0,67.0,14980.0,,654.0,1.0,30960.0,12.0,13026.0,,,19848.0,113.0,
Blautia_producta,278.0,279.0,53.0,,502.0,420.0,1286.0,782.0,64.0,4.0,148.0,38.0,430.0,23.0,265.0,50.0,503.0,203.0,1248.0,381.0,898.0,288.0,57.0,327.0,18.0,327.0,,1928.0,2.0,1362.0,,441.0,268.0,,483.0,10.0,83.0
Blautia_pseudococcoides,,3.0,2.0,2.0,180.0,2168.0,165.0,7.0,17.0,,,1.0,4.0,,,,3.0,7.0,2.0,1.0,7.0,21.0,3.0,2.0,2.0,45.0,,523.0,,225.0,3.0,87.0,4.0,,94.0,,279.0
Blautia_sp._SC05B48,610.0,598.0,,598.0,,23.0,20.0,250.0,111.0,609.0,978.0,297.0,1178.0,111.0,890.0,343.0,977.0,128.0,177.0,120.0,638.0,9.0,998.0,132.0,1125.0,,,391.0,,,,,182.0,,,483.0,500.0
Blautia_wexlerae,81723.0,77458.0,5776.0,7653.0,5608.0,21546.0,995.0,611.0,288897.0,54444.0,30788.0,9934.0,48341.0,14461.0,119630.0,9154.0,165439.0,245769.0,293292.0,42836.0,44194.0,1791.0,40507.0,27415.0,14091.0,31914.0,41.0,1100.0,26.0,11598.0,184.0,1235.0,41989.0,,174193.0,13382.0,95264.0
Blohavirus_americanus,,,,,,,,,,,,,,,,,,,,,1739.0,,,,159.0,,,,,,,,,,,,
Blohavirus_faecalis,,,,,,,,,,,,,,,,,,,,,77.0,,,,69.0,,,,,,,,,,,,
Brigitvirus_brigit,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,1.0,26.0
Brochothrix_thermosphacta,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
Brussowvirus_bvO1205,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Buchavirus_copri,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Buchavirus_hiberniae,,,,,,,,,,,,,,,,,,,,,,,,,,9377.0,,,,,,,,,,,
Buchavirus_hominis,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,
