species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Bacteroides_nordii,,,,,,,,,4.0,395.0,,,,,,,,1.0,,,,,797.0,,2.0,,,,,,,,,,,449.0,9.0
Bacteroides_ovatus,241943.0,126695.0,14.0,5121.0,377999.0,67856.0,373047.0,183946.0,10627.0,10959.0,202105.0,115366.0,330248.0,75558.0,82434.0,10437.0,467305.0,56.0,3910.0,142369.0,98.0,700.0,21545.0,302554.0,6905.0,7897.0,,192097.0,54.0,2.0,1096.0,,90931.0,63.0,1586.0,11453.0,11198.0
Bacteroides_salyersiae,36.0,8.0,,356.0,,,,13.0,,23857.0,25.0,23.0,62.0,12.0,12.0,1.0,20.0,46.0,9.0,12.0,1.0,,42.0,5.0,,,,,,,19.0,,4.0,1.0,10.0,11.0,1663.0
Bacteroides_sp._A1C1,2861.0,857.0,,736.0,,28.0,,546.0,841.0,13671.0,4902.0,2980.0,5456.0,1462.0,2442.0,205.0,1394.0,,,1084.0,422.0,,841.0,1478.0,92.0,,,30.0,,,39.0,,127.0,,103.0,220.0,60.0
Bacteroides_sp._CACC_737,,,,206.0,154.0,66.0,93.0,1681.0,,4583.0,,,,,,,,,,,193.0,,8727.0,,,,,213.0,,,,,,,209.0,696.0,2911.0
Bacteroides_sp._D2,8.0,,,52.0,,,,,92.0,147.0,25.0,,,,,,,,,42.0,,,281.0,,16.0,81.0,,,,,11.0,,,,,322.0,150.0
Bacteroides_sp._DH3716P,4385.0,2458.0,,6473.0,,,,358.0,15829.0,2068.0,3899.0,2860.0,7220.0,1025.0,1578.0,270.0,8681.0,,168.0,2416.0,,,328.0,4913.0,502.0,,,,,,425.0,,2113.0,,1293.0,2034.0,2529.0
Bacteroides_sp._HF-162,2099.0,331.0,,877.0,8130.0,3727.0,3781.0,,,6649.0,2583.0,1347.0,3303.0,678.0,683.0,,801.0,,,1035.0,65.0,7.0,624.0,1261.0,,251.0,,30953.0,,,,,45.0,,534.0,366.0,
Bacteroides_sp._M10,14.0,5.0,,12.0,792.0,122.0,895.0,432.0,110.0,34.0,14.0,5.0,19.0,,,,9.0,,,321.0,2.0,,67.0,5.0,47.0,67.0,,484.0,,,,,27.0,,,52.0,17.0
Bacteroides_sp._MSB163,,,,2.0,,,,32.0,,69.0,,,,,,,,,,,3.0,,1107.0,,36.0,,,,,,,,,,233.0,41.0,155.0
Bacteroides_sp._ZJ-18,,,,84.0,237.0,,,,117.0,,,,,,,,,,,,219.0,557.0,,,,,,148.0,,,,,,,,,
Bacteroides_stercoris,1.0,,,81.0,,7.0,,78.0,114665.0,134810.0,,1.0,3.0,,1.0,,,,,,22822.0,1.0,146105.0,,11077.0,438.0,,,23.0,,1.0,,,,,5212.0,47.0
Bacteroides_thetaiotaomicron,1083.0,510.0,8.0,9446.0,1420.0,518.0,567.0,4416.0,2149.0,3170.0,1820.0,899.0,1122.0,27661.0,28445.0,53.0,1128.0,71.0,485.0,819.0,684.0,2.0,2010.0,453.0,5680.0,260.0,9.0,4459.0,183298.0,,7324.0,433.0,196.0,158.0,32960.0,2965.0,10791.0
Bacteroides_uniformis,227040.0,48201.0,25.0,139686.0,157056.0,60585.0,64976.0,109517.0,48.0,71420.0,366011.0,257217.0,437186.0,148354.0,141978.0,20656.0,118123.0,11.0,412.0,128550.0,9012.0,2.0,209333.0,128474.0,11437.0,4506.0,123.0,504306.0,,,7821.0,,14405.0,97.0,118587.0,5122.0,12818.0
Bacteroides_xylanisolvens,590.0,301.0,,2628.0,66.0,,,14607.0,223793.0,11633.0,567.0,215.0,880.0,182.0,268.0,,1197.0,,11.0,418.0,1737.0,,6645.0,639.0,897.0,248.0,,7.0,349.0,,597.0,,308.0,82.0,15737.0,588.0,1889.0
Bacteroides_zhangwenhongii,43.0,69.0,,1713.0,,,,4.0,4.0,1188.0,35.0,21.0,78.0,5.0,,,83.0,,132.0,2631.0,5.0,,327.0,53.0,35.0,,,,,,216.0,,4.0,,,,9.0
Barnesiella_sp._An22,39.0,7.0,,,576.0,257.0,155.0,2.0,6.0,,41.0,31.0,55.0,7.0,11.0,,16.0,,,20.0,37.0,,8.0,20.0,53.0,,,1389.0,,,,,1.0,,,5.0,4.0
Barnesiella_viscericola,,,,1.0,5.0,1.0,,17.0,73.0,,2.0,,,,,,,,,,29.0,,2.0,,8.0,,,1.0,,,,,,,,,2.0
Bifidobacterium_adolescentis,,1.0,,3972.0,126.0,14.0,2918.0,11153.0,,59411.0,60.0,9.0,,15.0,125.0,18.0,,19.0,,,105.0,6.0,190.0,,15508.0,,,1.0,,,,,,,,10203.0,512.0
Bifidobacterium_angulatum,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bifidobacterium_animalis,,,,,37.0,,206.0,,,,,,,,,,,,,,110725.0,,,,,,,,,,,,,,,,
Bifidobacterium_bifidum,,,,112.0,,,,,28.0,4683.0,,,,,,,,,,,,,,,215.0,,38.0,,,,,,,,,,
Bifidobacterium_breve,,1.0,11.0,,29126.0,1490.0,580384.0,998.0,,71.0,1.0,,7.0,,3.0,,4.0,11.0,8.0,5.0,49.0,6.0,2.0,5.0,242.0,30.0,161.0,5.0,,,,,2.0,,2.0,130.0,
Bifidobacterium_catenulatum,,,,49.0,,,,,,1864.0,,,4.0,,,,,,,,,,,,,,50.0,1.0,,,1.0,,,,,33.0,16.0
Bifidobacterium_dentium,,,2250.0,2.0,57.0,26.0,2.0,905.0,,,2.0,,,,,,1.0,,1.0,4.0,84.0,1.0,36.0,,846.0,2358.0,53.0,,8.0,5351.0,,860.0,,,21.0,4.0,3.0
Bifidobacterium_faecale,,,,,,,,45.0,,418.0,,,,,,,,,,,,,,,,,,,,,,,,,,347.0,
Bifidobacterium_longum,11.0,,35.0,3.0,133.0,1.0,2964.0,80347.0,16658.0,33097.0,,,,,,,,2.0,,2.0,,2.0,3702.0,,23091.0,3443.0,49.0,2.0,,11.0,,,3.0,,139.0,10780.0,352.0
Bifidobacterium_pseudocatenulatum,7.0,6.0,,601.0,,,,25.0,2.0,32034.0,4.0,1.0,5.0,3.0,12.0,1.0,3.0,10.0,10.0,13.0,,,99.0,1.0,50.0,6.0,1011.0,,,,30.0,,2.0,,,1143.0,1553.0
Bifidobacterium_pullorum,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Bifidobacterium_scardovii,,,2476.0,1.0,,,,,,,,,,,,,,,,,8302.0,,,,,982.0,,,2.0,517.0,,189.0,,,,,
Bifidobacterium_thermophilum,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0
Birpovirus_hiberniae,,,,,,,,,,,,,,,,,,,,,58.0,,,,20.0,,,,,,,,,,,,
Birpovirus_hominis,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Blautia_argi,6.0,6.0,53.0,47.0,3.0,8.0,5.0,34.0,14.0,1.0,6.0,6.0,27.0,,1.0,1.0,19.0,12.0,4.0,3.0,132.0,89.0,28.0,6.0,,90.0,,22.0,11.0,118.0,,40.0,6.0,,21.0,,25.0
Blautia_coccoides,249.0,696.0,889.0,,1602.0,1451.0,5159.0,768.0,313.0,20.0,84.0,44.0,614.0,26.0,156.0,115.0,396.0,30.0,199.0,121.0,182.0,1432.0,52.0,130.0,8.0,1553.0,,7986.0,41.0,966.0,,916.0,132.0,,944.0,235.0,
Blautia_hansenii,1.0,1.0,100.0,7.0,,,,93.0,6601.0,27.0,1.0,,1.0,,1.0,1.0,,64.0,,,83.0,942.0,6845.0,,4.0,29.0,,,,33.0,,14.0,1.0,,1.0,9.0,1.0
Blautia_hydrogenotrophica,2.0,2.0,,4738.0,7578.0,10102.0,2132.0,563.0,18.0,1065.0,,,4.0,1.0,,,2.0,1.0,1.0,5.0,59.0,13015.0,19392.0,4.0,60.0,17696.0,,14638.0,,,140.0,1.0,1.0,1.0,,4183.0,80.0
Blautia_liquoris,,,,,29.0,12.0,28.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Blautia_luti,532.0,411.0,264.0,138.0,38.0,176.0,2.0,51.0,1347.0,375.0,233.0,66.0,373.0,72.0,963.0,54.0,1177.0,577.0,669.0,124.0,323.0,11.0,341.0,97.0,2308.0,97.0,,21.0,13.0,558.0,,146.0,211.0,,891.0,178.0,426.0
Blautia_obeum,4708.0,7261.0,33.0,12847.0,5.0,119.0,15.0,1166.0,202.0,4143.0,11555.0,3999.0,15656.0,1456.0,11569.0,5582.0,10657.0,4332.0,13805.0,4866.0,2988.0,50.0,1171.0,3909.0,4705.0,11589.0,,121.0,,13.0,303.0,2.0,5819.0,,29.0,60748.0,12631.0
Blautia_parvula,1.0,5.0,1188.0,485.0,23.0,21.0,13.0,2103.0,4623.0,302.0,1.0,,3.0,,8.0,,4.0,48.0,21.0,14.0,2364.0,28537.0,655.0,6.0,62.0,14652.0,,643.0,1.0,29969.0,12.0,12802.0,,,19030.0,107.0,
Blautia_producta,271.0,275.0,48.0,,484.0,407.0,1254.0,748.0,60.0,4.0,144.0,38.0,423.0,23.0,257.0,47.0,495.0,200.0,1232.0,374.0,875.0,288.0,57.0,323.0,14.0,324.0,,1900.0,2.0,1310.0,,436.0,264.0,,459.0,10.0,83.0
Blautia_pseudococcoides,,2.0,2.0,2.0,168.0,2034.0,161.0,6.0,17.0,,,1.0,4.0,,,,3.0,7.0,2.0,,7.0,20.0,3.0,2.0,2.0,45.0,,506.0,,216.0,3.0,87.0,4.0,,89.0,,274.0
Blautia_sp._SC05B48,602.0,599.0,,580.0,,23.0,20.0,250.0,105.0,600.0,931.0,282.0,1162.0,112.0,869.0,322.0,944.0,128.0,177.0,116.0,623.0,9.0,966.0,128.0,1072.0,,,385.0,,,,,178.0,,,467.0,483.0
Blautia_wexlerae,80329.0,76314.0,5727.0,7453.0,5393.0,20928.0,981.0,571.0,283189.0,53084.0,29638.0,9482.0,47620.0,13959.0,116368.0,8856.0,161947.0,242180.0,289411.0,41690.0,43254.0,1776.0,38980.0,26950.0,13679.0,31188.0,41.0,1082.0,26.0,11221.0,184.0,1207.0,41175.0,,167396.0,12989.0,93221.0
Blohavirus_americanus,,,,,,,,,,,,,,,,,,,,,1716.0,,,,159.0,,,,,,,,,,,,
Blohavirus_faecalis,,,,,,,,,,,,,,,,,,,,,73.0,,,,69.0,,,,,,,,,,,,
Brigitvirus_brigit,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,1.0,26.0
Brochothrix_thermosphacta,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,
Brussowvirus_bvO1205,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,
Buchavirus_copri,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Buchavirus_hiberniae,,,,,,,,,,,,,,,,,,,,,,,,,,9201.0,,,,,,,,,,,
Buchavirus_hominis,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,,,,,,,
Buchavirus_oralis,,,,,,,,,,,,,,,,,,,,,,,,,,2638.0,,,,,,,,,,,
