species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Actinomyces_capricornis,,,,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,
Actinomyces_israelii,7.0,10.0,237.0,9.0,6.0,29.0,9.0,36.0,,5.0,4.0,,3.0,,,,10.0,3.0,8.0,1.0,278.0,,37.0,,10.0,124.0,,9.0,7.0,60.0,,35.0,,,72.0,5.0,117.0
Actinomyces_massiliensis,14.0,12.0,2.0,10.0,19.0,133.0,25.0,,,43.0,52.0,5.0,36.0,15.0,68.0,16.0,14.0,10.0,96.0,16.0,22.0,,22.0,,23.0,3.0,,13.0,,1.0,,,,,1.0,41.0,7.0
Actinomyces_naeslundii,68.0,176.0,10.0,108.0,6.0,11.0,18.0,1.0,7.0,234.0,119.0,24.0,122.0,38.0,239.0,149.0,153.0,191.0,264.0,43.0,62.0,,309.0,34.0,124.0,436.0,,2.0,,3.0,,,67.0,1.0,5.0,101.0,143.0
Actinomyces_oris,186.0,493.0,923.0,237.0,236.0,936.0,1381.0,47.0,,231.0,311.0,131.0,360.0,126.0,659.0,212.0,579.0,492.0,395.0,73.0,237.0,,516.0,159.0,450.0,2731.0,17.0,101.0,24.0,239.0,,93.0,479.0,,562.0,228.0,217.0
Actinomyces_pacaensis,93.0,134.0,14.0,1.0,,19.0,,91.0,19.0,267.0,,1.0,5.0,5.0,35.0,81.0,8.0,55.0,38.0,3.0,6.0,25.0,65.0,,19.0,414.0,13.0,15.0,1.0,5.0,,4.0,,,38.0,299.0,7.0
Actinomyces_radicidentis,,,,,,,,,,,,,,,,,,,,,1.0,7.0,,,,,,,,,,,,,,16.0,
Actinomyces_respiraculi,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Actinomyces_slackii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Actinomyces_sp._Chiba101,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,
Actinomyces_sp._HMT897,36.0,7.0,,,,,,3.0,,,,3.0,10.0,,,,10.0,,22.0,,,,,,,,,,,,,,,,,6.0,
Actinomyces_sp._HMT_175,9.0,40.0,165.0,47.0,18.0,139.0,240.0,24.0,,8.0,53.0,16.0,26.0,9.0,79.0,8.0,60.0,58.0,37.0,7.0,26.0,,154.0,21.0,49.0,711.0,,12.0,,38.0,,24.0,50.0,,167.0,31.0,92.0
Actinomyces_sp._Z16,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces_sp._oral_taxon_169,1.0,40.0,249.0,99.0,19.0,110.0,182.0,20.0,,45.0,37.0,1.0,18.0,3.0,54.0,14.0,32.0,33.0,33.0,,368.0,,108.0,8.0,190.0,1380.0,,19.0,,63.0,,42.0,19.0,2.0,132.0,44.0,10.0
Actinomyces_sp._oral_taxon_171,6.0,20.0,11.0,48.0,43.0,154.0,295.0,1.0,,29.0,18.0,9.0,7.0,8.0,32.0,10.0,24.0,57.0,24.0,4.0,3.0,,89.0,7.0,32.0,57.0,,1.0,,1.0,,1.0,11.0,,1.0,52.0,3.0
Actinomyces_sp._oral_taxon_414,,1.0,34.0,11.0,,,,16.0,,9.0,3.0,,1.0,,,8.0,4.0,,4.0,,143.0,1.0,92.0,,6.0,3.0,,,,6.0,,1.0,,,3.0,15.0,68.0
Actinomyces_sp._oral_taxon_897,16.0,7.0,,2.0,,,,1.0,,,4.0,1.0,11.0,,6.0,5.0,10.0,,9.0,,3.0,,,,,,,,,,,,,,,,5.0
Actinomyces_trachealis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Actinomyces_urogenitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Actinomyces_viscosus,3.0,2.0,11.0,2.0,,4.0,16.0,,,1.0,,,2.0,1.0,11.0,3.0,2.0,4.0,4.0,1.0,10.0,,13.0,,14.0,35.0,,2.0,,2.0,,,,,3.0,2.0,2.0
Actinomyces_wuliandei,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,1.0
Actinoplanes_sp._NBC_00393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinosynnema_pretiosum,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Actinotignum_urinale,1.0,,,90.0,1.0,,2.0,,,,2.0,1.0,1.0,2.0,,,,,,,,1.0,2.0,,,,,4.0,,,5.0,,1.0,,,5.0,3.0
Acutalibacter_muris,59.0,126.0,2807.0,277.0,9.0,9.0,37.0,41.0,98.0,20.0,50.0,34.0,83.0,21.0,73.0,45.0,120.0,195.0,121.0,51.0,33.0,242.0,45.0,44.0,129.0,99.0,22.0,93.0,7.0,1470.0,38.0,1270.0,35.0,4.0,416.0,325.0,29.0
Adhaeretor_mobilis,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Adlercreutzia_equolifaciens,2656.0,4865.0,,6136.0,3258.0,8592.0,5616.0,4.0,,3423.0,2525.0,1603.0,3026.0,748.0,3380.0,3645.0,2625.0,1786.0,4734.0,609.0,3539.0,1.0,3429.0,2256.0,3450.0,,,1180.0,,,183.0,,2094.0,45.0,4.0,547.0,1275.0
Adlercreutzia_hattorii,23722.0,44772.0,44.0,5417.0,109151.0,289553.0,191019.0,1.0,2.0,9216.0,23983.0,15157.0,28868.0,7522.0,33928.0,34875.0,24259.0,16890.0,43667.0,5611.0,10104.0,75.0,5356.0,21166.0,2313.0,11.0,1.0,40751.0,2.0,19.0,140.0,4.0,19139.0,41.0,,1250.0,1196.0
Aedoeadaptatus_ivorii,,,,,,,,,,1.0,,,,,,2.0,2.0,,,,,2.0,,,,3.0,,,,,,,,,,,
Aequoribacter_fuscus,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Aeribacillus_sp._FSL_k6-2211,,,,,101.0,,722.0,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,
Aerococcus_christensenii,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,,,,
Aerococcus_loyolae,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,1.0,,,,,
Aerococcus_mictus,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,
Aerococcus_sanguinicola,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
Aerococcus_sp._Group_1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Aerococcus_tenax,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,17.0,,,,,,,,,,,
Aerococcus_urinaeequi,,,,,10.0,13.0,,,,,,,,,,,,,,,31.0,,,,,,5.0,,,,,,,,,2.0,
Aerococcus_viridans,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1072.0,,,,,,,,,,
Aeromonas_allosaccharophila,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,290.0,271.0,,7619.0,,,,,
Aeromonas_caviae,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,11.0,,9.0,,,,,,,,
Aeromonas_hydrophila,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,3.0,,353.0,,,,,
Aeromonas_media,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,10.0,,8.0,,,70.0,,,,,
Aeromonas_salmonicida,,,38.0,,,,5.0,,,,,,1.0,,,,,,,,,,,,,,,,16.0,25.0,,558.0,,,,,
Aeromonas_sp._ASNIH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,
Aeromonas_sp._FDAARGOS_1414,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Aeromonas_veronii,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,
Afonbuvirus_coli,,,,,,,,,,,,,,,,,,,,,,,,,113.0,7.0,,,,,,,,,,21.0,
Afonbuvirus_faecalis,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,22.0,
Afonbuvirus_intestinihominis,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,,22.0,
Agathobacter_rectalis,67778.0,56049.0,53171.0,51307.0,223.0,494.0,676.0,8622.0,4886.0,418948.0,27407.0,17811.0,26095.0,17769.0,54717.0,20495.0,23008.0,131532.0,20267.0,9652.0,5903.0,1744.0,245682.0,2626.0,82522.0,3602.0,132.0,5989.0,305.0,98898.0,506.0,14303.0,4111.0,87.0,5009.0,74395.0,4220.0
Agathobaculum_sp._NTUH-O15-33,110.0,64.0,15.0,44.0,4.0,22.0,23.0,374.0,3.0,400.0,126.0,80.0,245.0,72.0,335.0,46.0,244.0,911.0,120.0,979.0,377.0,17.0,224.0,63.0,82.0,1.0,20.0,31.0,1.0,22.0,1.0,1.0,55.0,,57.0,220.0,544.0
Aggregatibacter_actinomycetemcomitans,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Aggregatibacter_aphrophilus,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,5.0,
Aggregatibacter_sp._2125159857,,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,
Aggregatibacter_sp._Marseille-P9115,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregatibacter_sp._oral_taxon_513,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Agrobacterium_tumefaciens,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Agrococcus_beijingensis,,,,,,,,,,11.0,,,,,,,,,,,,1.0,19.0,,,,,,,,,,,,,,
Agrococcus_jejuensis,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Agromyces_sp._G08B096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Agromyces_sp._LHK192,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Akkermansia_biwaensis,,,,,,,,,,,,,,,,,,,,,,,962.0,,,,,,,,,,,,,,
Akkermansia_massiliensis,,,,,,,,,,,,,,,,,,,,,,1305.0,,,,,,,,,,,,,,7.0,2.0
Akkermansia_muciniphila,20.0,69.0,4.0,37586.0,2.0,14.0,6.0,99.0,28.0,143.0,55.0,37.0,125.0,4.0,19.0,17.0,113.0,155.0,62.0,20.0,22.0,56.0,127654.0,13.0,79818.0,8.0,11.0,262.0,1.0,,12093.0,3.0,45.0,5775.0,,90157.0,33052.0
Akkermansia_sp._AE01SA01,168.0,982.0,,3.0,,,,,,,942.0,566.0,1149.0,227.0,588.0,177.0,1146.0,889.0,490.0,51636.0,,,,577.0,2.0,,,,,,,,712.0,,,,
Akkermansia_sp._EB-AMDK43,,,,,,,,,,,,,,,,,,,,,,,,,1066.0,,,,,,,,,,,,
Akkermansia_sp._RCC_12PD,,3.0,,,,,,,,,3.0,6.0,3.0,,,,6.0,9.0,3.0,210.0,,,7.0,,4.0,,,,,,,,,,,,
Aliarcobacter_cryaerophilus,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Alicyclobacillus_acidoterrestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Alistipes_communis,16087.0,851.0,10.0,15721.0,5.0,,,1822.0,,7239.0,35277.0,25163.0,74851.0,13270.0,11545.0,15740.0,4049.0,4736.0,1208.0,196.0,282.0,1.0,6849.0,395.0,2513.0,365.0,,,,,323.0,,1366.0,185.0,,3127.0,22248.0
Alistipes_dispar,669.0,1200.0,,142.0,,,,48.0,42.0,138.0,2140.0,1823.0,6714.0,19.0,40.0,268.0,4220.0,6494.0,1868.0,97.0,305.0,,2589.0,418.0,75.0,1.0,,,1.0,,4.0,,2097.0,2.0,2.0,99.0,592.0
Alistipes_finegoldii,3746.0,7480.0,5.0,691.0,188.0,55.0,283.0,14367.0,388.0,28956.0,150889.0,126281.0,92528.0,28234.0,61740.0,40436.0,28320.0,42157.0,12152.0,417.0,4247.0,9.0,2850.0,2344.0,25436.0,24.0,,190.0,,2.0,50.0,1.0,13324.0,17.0,,15913.0,18881.0
Alistipes_ihumii,6.0,20.0,1.0,6996.0,,1.0,1.0,4.0,,408.0,33.0,32.0,75.0,3.0,1.0,6.0,43.0,76.0,17.0,1.0,,2.0,2534.0,3.0,11537.0,1.0,,,,,226.0,,18.0,69.0,,1987.0,6739.0
Alistipes_indistinctus,10.0,18.0,,24.0,3.0,,1.0,14.0,,948.0,48.0,39.0,90.0,15.0,9.0,10.0,57.0,60.0,19.0,11.0,1.0,1.0,241.0,6.0,295.0,,,3.0,,,1.0,,18.0,,1.0,418.0,2226.0
Alistipes_megaguti,447.0,878.0,,41.0,785.0,280.0,556.0,41.0,876.0,50.0,1363.0,1176.0,4624.0,11.0,38.0,174.0,3601.0,5525.0,1551.0,62.0,6364.0,,49.0,261.0,421.0,,,3444.0,2.0,,10.0,1.0,1527.0,2.0,,486.0,220.0
Alistipes_onderdonkii,4157.0,5848.0,57.0,92790.0,2.0,3.0,1.0,31746.0,1.0,98731.0,9785.0,8028.0,32655.0,1535.0,2616.0,2214.0,22039.0,31863.0,9261.0,1201.0,21920.0,4.0,6425.0,2844.0,3862.0,23.0,,,85.0,5.0,20066.0,2.0,9822.0,3186.0,16.0,102868.0,648383.0
Alistipes_senegalensis,1729.0,4299.0,1.0,570.0,,,,355.0,,1126.0,3156.0,2599.0,17546.0,124.0,324.0,474.0,15026.0,21852.0,6609.0,490.0,75.0,2.0,4115.0,1524.0,2077.0,21.0,,,233.0,,73.0,,6624.0,17.0,32.0,10962.0,1918.0
Alistipes_shahii,6179.0,15730.0,2.0,10367.0,1.0,29.0,1.0,328.0,160.0,65888.0,9022.0,8090.0,65962.0,224.0,475.0,1008.0,58825.0,87449.0,25878.0,1115.0,1688.0,22.0,59296.0,4437.0,66167.0,1909.0,1.0,2.0,128.0,,1015.0,,27978.0,415.0,23.0,10695.0,16788.0
Alistipes_sp._dk3624,2.0,3.0,,51.0,,,,10.0,,8341.0,9.0,5.0,6.0,,2.0,1.0,3.0,2.0,1.0,,1.0,,2296.0,2.0,49.0,,,,,,6.0,,4.0,,4.0,473.0,84.0
Alkalibacterium_putridalgicola,,,,,50.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkalicella_caledoniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Alkalihalobacillus_sp._AL-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Alkaliphilus_metalliredigens,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkaliphilus_sp._B6464,,,,,,,25.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Allobaculum_mucilyticum,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
Allobaculum_sp._Allo2,,,,,,,,,16.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Allocoprobacillus_halotolerans,21.0,29.0,2.0,53.0,298.0,219.0,1172.0,39.0,44.0,38.0,33.0,8.0,29.0,3.0,14.0,37.0,35.0,187.0,55.0,27.0,147.0,639.0,24.0,3.0,71.0,87.0,316.0,832.0,,10.0,7.0,1.0,15.0,3.0,28.0,1.0,30.0
Allokutzneria_albata,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Allorhizobium_pseudoryzae,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloyangia_pacifica,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedibacterium_intestinale,332.0,259.0,643.0,1147.0,19.0,95.0,131.0,128.0,169.0,295.0,257.0,133.0,329.0,68.0,446.0,449.0,318.0,454.0,527.0,217.0,916.0,637.0,283.0,106.0,460.0,87.0,516.0,506.0,67.0,552.0,17.0,331.0,104.0,3.0,165.0,113.0,147.0
Aminipila_butyrica,,,,,100.0,24.0,420.0,,,,,,4.0,,,1.0,2.0,1.0,4.0,,,,,,1.0,,,,,,,,,,,,
Aminipila_luticellarii,8.0,4.0,,53.0,4.0,6.0,1330.0,40.0,48.0,1.0,6.0,9.0,8.0,2.0,10.0,9.0,15.0,6.0,1.0,2.0,5.0,9.0,26.0,5.0,84.0,10.0,,41.0,,,2.0,13.0,3.0,,,5.0,
Aminipila_terrae,,,,,,,1.0,,,,,,,,,,,1.0,4.0,3.0,1.0,,,,1.0,,,,,,,,,,,,
Aminobacter_sp._MSH1,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,
Amphibacillus_xylanus,,,,,,,239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amycolatopsis_sp._Hca4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Amycolatopsis_sp._cg5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Amygdalobacter_indicium,,,2.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,30.0,,,,,5.0,,,,,1.0,,,,6.0
Amygdalobacter_nucleatus,,,,3.0,1.0,,,58.0,,2.0,,,,,,,,1.0,,,,2.0,15.0,,1.0,3.0,,1.0,,,,,,,,3.0,5.0
Anaerobutyricum_hallii,31925.0,41613.0,17765.0,54240.0,172.0,540.0,192.0,2696.0,4266.0,115393.0,41925.0,24261.0,56581.0,20214.0,123537.0,75497.0,80145.0,6772.0,81203.0,15188.0,26686.0,11175.0,60865.0,16983.0,67036.0,192761.0,70.0,1752.0,109.0,16979.0,2158.0,8553.0,12297.0,446.0,4909.0,65354.0,86978.0
Anaerococcus_degeneri,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,
Anaerococcus_mediterraneensis,,,,,,,1.0,,,,,1.0,,,,3.0,,,,,,2.0,,,,139.0,,,,,,1.0,,,,,
Anaerococcus_nagyae,,,2.0,,,,,,,,,1.0,,,,,,,,,,8.0,,,,13.0,,,,2.0,,3.0,,,,,
Anaerococcus_obesiensis,11.0,4.0,,23.0,,,7.0,,15.0,10.0,,,,,4.0,77.0,,,,,,1093.0,,1.0,1.0,22180.0,,4.0,,13.0,5.0,131.0,,1.0,3.0,,
Anaerococcus_prevotii,,,,,,,1.0,,,1.0,2.0,,,,,,,,,,,1.0,,,,99.0,,,,1.0,,9.0,,,,4.0,
Anaerococcus_sp._Marseille-Q7828,,,,,,,4.0,,,,,,,,,,,,,,,,,,,49.0,,,,,,3.0,,,,,
Anaerococcus_vaginalis,12.0,,,15.0,,,5.0,,3.0,5.0,,1.0,,,4.0,64.0,1.0,,,,,248.0,1.0,1.0,,15905.0,,,,3.0,8.0,119.0,,1.0,5.0,,
Anaerocolumna_cellulosilytica,,,,11.0,83.0,28.0,340.0,2.0,6.0,1.0,,3.0,1.0,,3.0,,1.0,3.0,5.0,,4.0,7.0,32.0,,27.0,,,25.0,,,2.0,,,,1.0,,5.0
Anaerocolumna_chitinilytica,,,13.0,,,,1.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,
Anaerocolumna_sedimenticola,,,,,5.0,,118.0,,,,,,2.0,,,,,,,,,,,,24.0,,,,,,,,,,,,
Anaerocolumna_sp._AGMB13020,,,,1.0,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,3.0,,,,6.0,
Anaerocolumna_sp._AGMB13025,,,,2.0,,,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,1.0,,,7.0,,9.0,,,,,,,
Anaerocolumna_sp._MB42-C2,,,,4.0,,2.0,,,2.0,,1.0,,,,,1.0,,,,,,22.0,,,3.0,8.0,,3.0,,,,,,,,,4.0
Anaerohalosphaera_lusitana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Anaeromicropila_herbilytica,,,4.0,,,,7.0,,,5.0,,,,,2.0,,,,,1.0,1.0,1.0,1.0,,3.0,,9.0,,,1.0,,1.0,,,,,1.0
Anaeropeptidivorans_aminofermentans,,,,3.0,,,,1.0,,,,,,,,,,36.0,,,,,2.0,,,,,,,,,,,,,,
Anaerostipes_caccae,27.0,64.0,158.0,36.0,147.0,76.0,1084.0,4088.0,734.0,125.0,38.0,22.0,77.0,23.0,62.0,39.0,75.0,127.0,63.0,51.0,2682.0,5465.0,74.0,43.0,31.0,25871.0,86.0,2817.0,,109.0,2.0,86.0,43.0,1.0,511.0,79.0,192.0
Anaerostipes_hadrus,14931.0,7778.0,322.0,21580.0,727.0,2988.0,160.0,772.0,1544.0,163748.0,24864.0,12088.0,33805.0,16221.0,96542.0,75894.0,17615.0,180909.0,38100.0,1907.0,564.0,23462.0,56383.0,7746.0,33782.0,2228.0,34.0,26971.0,138.0,340.0,1189.0,370.0,1349.0,241.0,995.0,33976.0,25600.0
Anaerostipes_rhamnosivorans,2.0,,15.0,,1.0,2.0,44.0,29.0,138.0,15.0,3.0,4.0,7.0,2.0,6.0,1.0,12.0,23.0,5.0,11.0,12.0,11.0,6.0,5.0,34.0,18.0,13.0,63.0,1.0,3.0,,7.0,5.0,,3.0,1.0,5.0
Anaerostipes_sp._PC18,14.0,12.0,127.0,25.0,22.0,262.0,3724.0,41.0,9142.0,56.0,87.0,65.0,134.0,66.0,168.0,38.0,116.0,68.0,46.0,30.0,73.0,133.0,319.0,12.0,42.0,647.0,472.0,3388.0,,131.0,1.0,85.0,14.0,1.0,112.0,51.0,82.0
Anaerotignum_propionicum,,,,8.0,,,4.0,,,17.0,,,,,,,,2.0,1.0,,,,,,,,,12.0,,,10.0,,,,10.0,,9.0
