species,1-MDcol002-5-2.report,11-MDCol002-label-12-on-bottle.report,14-MDCOL003-Stool-1B-Baseline-BSB-2-4-1-4.report,15-MDcol004-3-1-pretreat.report,17-MDCOL006-3-1A.report,19-MDCOL006-3-2A.report,21-MDCOL006-2-pre-chemo-A.report,23-MDcol033-1A.report,25-MDcol036-1A.report,27-MDcol025-1B.report,28-7A-1-1.report,29-7A.report,3-MDcol002-5-1.report,30-8B.report,31-8B.report,33-6-2.report,36-40-1B.report,38-S-Swanson.report,40-MDCol002-7-43.report,42-51-1B.report,45-MDCOL005-1B.report,46-MDCOL015-1a.report,48-MDCOL039-1a.report,5-MDCOL055-Stool-1A-Baseline-BSB-2-4-1-2.report,50-MDCOL027-1a.report,52-MDCOL021-1b.report,54-MDCOL028-1b.report,60-MDcol006-4-1A.report,63-MDcol003-3-2.report,65-MDCOL003-Post-Chemo-Collection-Cycle-1-A.report,66-MDCOL004-1A.report,68-MDCOL003-3-1-Before-Chemo-2-3A.report,7-MDCOL058-Stool-1A-Baseline-BSB-2-4-1-3.report,70-MDCOL004-3-2-Post-Chemo-A.report,72-MDCOL003-4-1-4A-Before-Chemo-6.report,75-MDCOL053-1-1-1-Unknown.report,9-MDCOL062-Stool-1A-Baseline-BSB-2-4-1-3.report
Achromobacter_denitrificans,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achromobacter_sp._AONIH1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Achromobacter_xylosoxidans,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidaminococcus_fermentans,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,1.0,6.0,5.0
Acidaminococcus_intestini,1.0,,1.0,78.0,,,,,,,1.0,,6.0,1.0,3.0,,2.0,11.0,6.0,1.0,,,13078.0,,,1629.0,2.0,,,,3.0,,3.0,,,137.0,93.0
Acidianus_brierleyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Acidibrevibacterium_fodinaquatile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Acididesulfobacillus_acetoxydans,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Acidihalobacter_aeolianus,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidihalobacter_yilgarnensis,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Acidilobus_saccharovorans,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acidilutibacter_cellobiosedens,2.0,,,,672.0,66.0,3846.0,,,,,,5.0,,1.0,,7.0,43.0,26.0,3.0,2.0,1.0,,2.0,,,,8.0,,,,,7.0,,,,
Acidiphilium_multivorum,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Acidipropionibacterium_acidipropionici,,6.0,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,
Acidipropionibacterium_jensenii,,,,,1.0,4.0,10.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0
Acidithiobacillus_ferrivorans,,,,,,,,1.0,,,1.0,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
Acinetobacter_baumannii,,,,,,,2.0,,,,,,,8.0,,,,,,,,,,,3.0,,7.0,,113.0,,,,,,1.0,5.0,
Acinetobacter_calcoaceticus,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter_colistiniresistens,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Acinetobacter_gerneri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,
Acinetobacter_guillouiae,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acinetobacter_haemolyticus,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,
Acinetobacter_indicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
Acinetobacter_johnsonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Acinetobacter_ursingii,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Actinacidiphila_reveromycinica,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoallomurus_sp._NBC_01490,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinoalloteichus_sp._AHMU_CJ021,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Actinobacillus_genomosp._1,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinobacillus_indolicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Actinokineospora_sp._UTMC_2448,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Actinomadura_graeca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Actinomyces_capricornis,,,,,,,,,,,2.0,1.0,1.0,,,1.0,,,2.0,,1.0,,,,1.0,,,,,,,,,,,,
Actinomyces_israelii,6.0,10.0,222.0,9.0,6.0,25.0,8.0,30.0,,5.0,5.0,,3.0,,,,10.0,3.0,8.0,1.0,262.0,,33.0,,10.0,114.0,,9.0,7.0,57.0,,29.0,,,67.0,6.0,114.0
Actinomyces_massiliensis,15.0,13.0,3.0,9.0,17.0,118.0,24.0,,,37.0,58.0,6.0,38.0,16.0,65.0,16.0,14.0,9.0,101.0,14.0,21.0,,20.0,,21.0,4.0,,14.0,,1.0,,,,,1.0,39.0,7.0
Actinomyces_naeslundii,70.0,168.0,9.0,106.0,6.0,9.0,18.0,1.0,6.0,211.0,114.0,25.0,119.0,35.0,229.0,150.0,144.0,190.0,262.0,43.0,59.0,,280.0,32.0,114.0,401.0,,2.0,,3.0,,,69.0,1.0,5.0,95.0,138.0
Actinomyces_oris,175.0,484.0,873.0,232.0,221.0,871.0,1313.0,43.0,,213.0,301.0,139.0,354.0,118.0,609.0,208.0,527.0,496.0,396.0,74.0,224.0,2.0,467.0,159.0,415.0,2503.0,15.0,99.0,21.0,217.0,,91.0,469.0,,510.0,210.0,211.0
Actinomyces_pacaensis,88.0,124.0,14.0,2.0,,20.0,,94.0,19.0,243.0,,1.0,5.0,4.0,32.0,77.0,8.0,54.0,36.0,3.0,6.0,24.0,57.0,,17.0,393.0,13.0,15.0,1.0,5.0,,4.0,,,37.0,280.0,7.0
Actinomyces_procaprae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Actinomyces_radicidentis,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,,,,,,15.0,
Actinomyces_respiraculi,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
Actinomyces_slackii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Actinomyces_sp._432,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces_sp._Chiba101,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,
Actinomyces_sp._HMT897,34.0,6.0,,,,,,3.0,,,,3.0,10.0,,,,10.0,,21.0,,,,,,,,,,,,,,,,,5.0,
Actinomyces_sp._HMT_175,9.0,42.0,165.0,46.0,17.0,131.0,234.0,21.0,,8.0,55.0,14.0,26.0,6.0,82.0,7.0,55.0,55.0,34.0,7.0,30.0,,135.0,20.0,44.0,663.0,,13.0,,35.0,,23.0,52.0,,136.0,29.0,85.0
Actinomyces_sp._Z16,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinomyces_sp._oral_taxon_169,,41.0,238.0,96.0,19.0,106.0,174.0,17.0,,44.0,34.0,1.0,16.0,5.0,53.0,12.0,33.0,31.0,31.0,,344.0,,97.0,10.0,167.0,1300.0,,20.0,,59.0,,41.0,19.0,2.0,125.0,44.0,10.0
Actinomyces_sp._oral_taxon_171,7.0,19.0,11.0,50.0,34.0,148.0,284.0,1.0,,27.0,22.0,11.0,8.0,9.0,29.0,10.0,24.0,60.0,25.0,5.0,1.0,,77.0,8.0,37.0,51.0,,1.0,,1.0,,1.0,10.0,,1.0,48.0,3.0
Actinomyces_sp._oral_taxon_414,,1.0,34.0,12.0,,,,16.0,,10.0,2.0,,1.0,,,9.0,4.0,,3.0,,135.0,1.0,87.0,,6.0,3.0,,,,5.0,,1.0,,,2.0,14.0,70.0
Actinomyces_sp._oral_taxon_897,14.0,7.0,,2.0,,,,1.0,,,4.0,1.0,8.0,,6.0,5.0,10.0,,8.0,,4.0,,,,,,,,,,,,,,,,5.0
Actinomyces_trachealis,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,2.0,
Actinomyces_viscosus,3.0,2.0,11.0,2.0,,4.0,16.0,,,1.0,2.0,,3.0,1.0,11.0,3.0,2.0,4.0,4.0,1.0,10.0,,13.0,,15.0,34.0,,2.0,,2.0,,,,,2.0,2.0,2.0
Actinomyces_wuliandei,,,,,,,,,,,,,,,,,,,,,5.0,,,,,1.0,,,,,,,,,,,1.0
Actinoplanes_sichuanensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
Actinoplanes_sp._NBC_00393,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Actinosynnema_pretiosum,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Actinotignum_urinale,1.0,,,91.0,,,2.0,,,,3.0,1.0,2.0,3.0,4.0,3.0,,,,1.0,,,2.0,,,,,5.0,,,6.0,,1.0,,,3.0,4.0
Acutalibacter_muris,60.0,125.0,2746.0,277.0,8.0,9.0,45.0,39.0,94.0,22.0,53.0,33.0,84.0,22.0,76.0,44.0,109.0,188.0,127.0,54.0,34.0,243.0,45.0,46.0,130.0,100.0,19.0,86.0,6.0,1390.0,36.0,1225.0,37.0,5.0,393.0,308.0,28.0
Acuticoccus_sp._I52.16.1,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adhaeretor_mobilis,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Adlercreutzia_equolifaciens,2544.0,4684.0,,5698.0,3052.0,8192.0,5465.0,5.0,,3197.0,2341.0,1511.0,2882.0,712.0,3168.0,3428.0,2475.0,1725.0,4569.0,548.0,3352.0,1.0,3102.0,2160.0,3094.0,,,1126.0,,,168.0,,2003.0,38.0,17.0,504.0,1208.0
Adlercreutzia_hattorii,21922.0,42350.0,45.0,4985.0,99300.0,268823.0,181518.0,,3.0,8365.0,21435.0,13801.0,26687.0,6768.0,30416.0,32068.0,21874.0,15941.0,40952.0,5070.0,9360.0,60.0,4698.0,19612.0,2056.0,12.0,1.0,37049.0,2.0,18.0,127.0,5.0,17779.0,32.0,,1140.0,1096.0
Aedoeadaptatus_ivorii,,1.0,,,,,,,,1.0,,,,,,2.0,2.0,,,,,2.0,,,,3.0,,,,,,,,,,,
Aequoribacter_fuscus,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Aequorivita_marisscotiae,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,
Aeribacillus_sp._FSL_k6-2211,,,,,94.0,,722.0,,,,,,,,,,,,,,,,,,74.0,,,,,,,,,,,,
Aerococcus_christensenii,,,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,,,,,,,,,,
Aerococcus_loyolae,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,1.0,,,,,
Aerococcus_mictus,,,,,,,,,,,,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,
Aerococcus_sanguinicola,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,
Aerococcus_sp._Group_1,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Aerococcus_tenax,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,17.0,,,,,,,,,,,
Aerococcus_urinaeequi,,,,,9.0,12.0,,,,,,,,,,,,,,,29.0,,,,,,6.0,,,,,,,,,2.0,
Aerococcus_viridans,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,997.0,,,,,,,,,,
Aeromonas_allosaccharophila,,,322.0,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,249.0,,7294.0,,,,,
Aeromonas_caviae,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,9.0,,,,,,,,
Aeromonas_hydrophila,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,29.0,3.0,,334.0,,,,,
Aeromonas_media,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,7.0,,8.0,,,71.0,,,,,
Aeromonas_salmonicida,,,38.0,,,,5.0,,,,,,2.0,,,,,,,,,2.0,,,1.0,,1.0,,16.0,24.0,,544.0,,,1.0,,
Aeromonas_sp._ASNIH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,
Aeromonas_sp._FDAARGOS_1407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
Aeromonas_sp._FDAARGOS_1414,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Aeromonas_veronii,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,6.0,,,,,,,,
Aestuariispira_ectoiniformans,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afonbuvirus_coli,,,,,,,,,,,,,,,,,,,,,,,,,103.0,7.0,,,,,,,,,,20.0,
Afonbuvirus_faecalis,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,,,19.0,
Afonbuvirus_intestinihominis,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,19.0,
Agathobacter_rectalis,64435.0,54079.0,51300.0,48583.0,212.0,477.0,674.0,7999.0,4702.0,386535.0,25352.0,16813.0,25067.0,16207.0,51219.0,19257.0,21674.0,126816.0,19758.0,9167.0,5767.0,1725.0,221787.0,2567.0,75310.0,3437.0,131.0,5716.0,294.0,91308.0,468.0,13881.0,4021.0,76.0,4707.0,68578.0,4077.0
Agathobaculum_sp._NTUH-O15-33,105.0,66.0,17.0,46.0,4.0,22.0,24.0,348.0,3.0,389.0,129.0,73.0,237.0,69.0,306.0,48.0,228.0,869.0,120.0,904.0,350.0,19.0,217.0,60.0,90.0,2.0,19.0,36.0,1.0,23.0,1.0,1.0,52.0,,57.0,208.0,518.0
Aggregatibacter_actinomycetemcomitans,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
Aggregatibacter_aphrophilus,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,5.0,
Aggregatibacter_sp._2125159857,,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,
Aggregatibacter_sp._Marseille-P9115,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aggregatibacter_sp._oral_taxon_513,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,
Agrobacterium_tumefaciens,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
Agrobacterium_vitis,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Agrococcus_beijingensis,,,,,,,,,,11.0,,,,,,,,,,,,2.0,18.0,,,,,,,,,,,,,,
Agrococcus_jejuensis,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Agromyces_laixinhei,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
Agromyces_larvae,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Agromyces_soli,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Agromyces_sp._G08B096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Agromyces_sp._LHK192,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Akkermansia_biwaensis,,,,,,,,,,,,,,,,,,,,,,,768.0,,,,,,,,,,,,,,
Akkermansia_massiliensis,,,,,,,,,,,,,,,,,,,,,,1193.0,,,,,,,,,,,,,,7.0,2.0
Akkermansia_muciniphila,20.0,69.0,3.0,34397.0,2.0,12.0,6.0,98.0,27.0,138.0,52.0,36.0,121.0,5.0,19.0,16.0,110.0,160.0,65.0,21.0,21.0,55.0,111645.0,12.0,69906.0,9.0,10.0,247.0,1.0,,10848.0,3.0,46.0,4653.0,,80110.0,30643.0
Akkermansia_sp._AE01SA01,169.0,940.0,,3.0,,,,,,,844.0,527.0,1090.0,211.0,557.0,165.0,1043.0,835.0,462.0,46656.0,,,,542.0,3.0,,,,,,,,672.0,,,,
Akkermansia_sp._EB-AMDK43,,,,,,,,,,,,,,,,,,,,,,,,,794.0,,,,,,,,,,,,
Akkermansia_sp._N21116,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akkermansia_sp._RCC_12PD,,3.0,,,,,,,,,3.0,6.0,3.0,,3.0,4.0,5.0,8.0,3.0,197.0,,,6.0,,4.0,,,,,,,,3.0,,,,
Alcaligenes_aquatilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Alcaligenes_sp._SDU_A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Aliamphritea_hakodatensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Aliarcobacter_cryaerophilus,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Alicyclobacillus_acidocaldarius,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Alicyclobacillus_acidoterrestris,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0
Alicyclobacillus_mengziensis,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Alicyclobacillus_sp._ALC3,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Alicyclobacillus_sp._SO9,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alistipes_communis,14786.0,860.0,8.0,14560.0,3.0,,,1698.0,,6718.0,31949.0,23366.0,68836.0,11975.0,10469.0,14617.0,3934.0,4885.0,1226.0,183.0,277.0,1.0,6120.0,396.0,2293.0,340.0,,,,,297.0,,1378.0,143.0,,2849.0,20717.0
Alistipes_dispar,688.0,1242.0,,141.0,,,,53.0,42.0,159.0,2337.0,1964.0,7040.0,23.0,47.0,310.0,4366.0,6729.0,1947.0,102.0,297.0,,2412.0,419.0,85.0,2.0,,,3.0,,5.0,,2177.0,2.0,2.0,101.0,580.0
Alistipes_finegoldii,3776.0,7515.0,5.0,670.0,188.0,54.0,284.0,13064.0,390.0,26304.0,138244.0,117984.0,87281.0,25222.0,55910.0,37655.0,28235.0,41852.0,12172.0,428.0,3942.0,9.0,2546.0,2259.0,22724.0,22.0,,189.0,7.0,,48.0,1.0,12986.0,15.0,,14452.0,17845.0
Alistipes_ihumii,10.0,21.0,1.0,6450.0,,1.0,1.0,3.0,,387.0,48.0,35.0,93.0,3.0,1.0,7.0,53.0,94.0,22.0,1.0,,2.0,2260.0,5.0,10175.0,1.0,,,,,205.0,,22.0,55.0,,1800.0,6299.0
Alistipes_indistinctus,10.0,20.0,,28.0,3.0,,2.0,16.0,,850.0,59.0,52.0,97.0,19.0,10.0,10.0,57.0,72.0,18.0,11.0,1.0,1.0,213.0,12.0,266.0,,,3.0,,,1.0,,21.0,,1.0,376.0,2046.0
Alistipes_megaguti,470.0,869.0,,43.0,766.0,276.0,551.0,42.0,815.0,58.0,1496.0,1253.0,4771.0,11.0,36.0,185.0,3613.0,5507.0,1576.0,67.0,5980.0,,57.0,271.0,387.0,,,3338.0,2.0,,12.0,1.0,1510.0,1.0,,450.0,221.0
Alistipes_onderdonkii,4088.0,5636.0,54.0,85293.0,2.0,3.0,,28890.0,1.0,89740.0,9837.0,8140.0,33010.0,1426.0,2426.0,2179.0,21483.0,31657.0,9346.0,1100.0,20236.0,5.0,5750.0,2776.0,3580.0,19.0,,,89.0,3.0,18144.0,2.0,9728.0,2575.0,16.0,92436.0,603636.0
Alistipes_senegalensis,1828.0,4272.0,1.0,549.0,,,,354.0,,1106.0,3489.0,2856.0,18388.0,117.0,318.0,515.0,14978.0,22380.0,6536.0,480.0,73.0,2.0,3767.0,1509.0,1922.0,21.0,,,211.0,,64.0,,6591.0,14.0,26.0,10000.0,1857.0
Alistipes_shahii,6270.0,15365.0,2.0,9549.0,,26.0,1.0,333.0,152.0,60104.0,9553.0,8606.0,66388.0,217.0,464.0,1086.0,55466.0,84683.0,24972.0,1125.0,1558.0,21.0,52403.0,4337.0,58688.0,1742.0,1.0,1.0,121.0,,926.0,,27290.0,329.0,23.0,9654.0,15695.0
Alistipes_sp._dk3624,2.0,3.0,,51.0,,,,13.0,,7513.0,12.0,8.0,14.0,1.0,2.0,1.0,8.0,8.0,5.0,,1.0,,1995.0,2.0,45.0,,,,,,7.0,,4.0,,4.0,437.0,78.0
Alkalibacter_rhizosphaerae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Alkalibacterium_putridalgicola,,,,,46.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Alkalicella_caledoniensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0
Alkalihalobacillus_sp._AL-G,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Alkaliphilus_metalliredigens,,,,,,,4.0,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Alkaliphilus_sp._B6464,,,,,,,27.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
Alloacidobacterium_dinghuense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Allobaculum_mucilyticum,,,,2.0,,,,,,,,1.0,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,
Allobaculum_sp._Allo2,,,,,,,1.0,,15.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
Allochromatium_vinosum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Allocoprobacillus_halotolerans,20.0,30.0,2.0,48.0,308.0,217.0,1164.0,41.0,43.0,34.0,34.0,8.0,27.0,3.0,16.0,39.0,36.0,190.0,54.0,26.0,140.0,641.0,18.0,3.0,70.0,94.0,317.0,819.0,,8.0,7.0,2.0,16.0,3.0,26.0,1.0,26.0
Allokutzneria_albata,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
Allomeiothermus_silvanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Allorhizobium_pseudoryzae,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloyangia_pacifica,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphaproteobacteria_bacterium_endosymbiont_of_Tiliacea_citrago,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Altererythrobacter_ishigakiensis,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Alteromonas_mediterranea,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amedibacterium_intestinale,324.0,247.0,646.0,1079.0,21.0,101.0,134.0,126.0,167.0,292.0,248.0,132.0,315.0,71.0,435.0,452.0,310.0,445.0,534.0,216.0,866.0,612.0,263.0,105.0,430.0,86.0,529.0,495.0,66.0,542.0,14.0,328.0,100.0,3.0,164.0,113.0,141.0
Aminipila_butyrica,,1.0,,,100.0,24.0,416.0,,,,,,3.0,,,3.0,2.0,1.0,5.0,,,,,,1.0,,,1.0,,,,,,,,,
Aminipila_luticellarii,8.0,2.0,,60.0,4.0,12.0,1298.0,37.0,46.0,1.0,6.0,9.0,9.0,1.0,9.0,8.0,16.0,7.0,3.0,1.0,5.0,10.0,26.0,5.0,81.0,8.0,,43.0,,,,16.0,2.0,,,6.0,
Aminipila_terrae,,,,,,,2.0,2.0,1.0,,,,,,1.0,,,1.0,5.0,3.0,1.0,,,,1.0,,,,,4.0,,,,,,,
Aminithiophilus_ramosus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Aminobacter_sp._MSH1,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,
Amphibacillus_xylanus,,,,,,,232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amycolatopsis_sp._Hca4,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
